Dataset,Model Variant,Fault Name,Rank,Variable,Score
Robotics (Pepper),LSTM Autoencoder,WheelsControl,1,WheelBSpeed,1.043327
Robotics (Pepper),LSTM Autoencoder,WheelsControl,2,GyroscopeZ,0.980177
Robotics (Pepper),LSTM Autoencoder,WheelsControl,3,WheelFRSpeed,0.919955
Robotics (Pepper),LSTM Autoencoder,WheelsControl,4,WheelFLSpeed,0.911972
Robotics (Pepper),LSTM Autoencoder,WheelsControl,5,WheelFLStiff,0.250575
Robotics (Pepper),LSTM Autoencoder,WheelsControl,6,RElbowYawStiff,0.085086
Robotics (Pepper),LSTM Autoencoder,WheelsControl,7,RShoulderPitchStiff,0.084029
Robotics (Pepper),LSTM Autoencoder,WheelsControl,8,RElbowRollStiff,0.076876
Robotics (Pepper),LSTM Autoencoder,WheelsControl,9,RShoulderRollStiff,0.070916
Robotics (Pepper),LSTM Autoencoder,WheelsControl,10,LShoulderPitchStiff,0.069573
Robotics (Pepper),LSTM Autoencoder,WheelsControl,11,AccelerometerX,0.066168
Robotics (Pepper),LSTM Autoencoder,WheelsControl,12,LElbowYawStiff,0.064937
Robotics (Pepper),LSTM Autoencoder,WheelsControl,13,LedEarR3,0.064909
Robotics (Pepper),LSTM Autoencoder,WheelsControl,14,LedEarL3,0.064167
Robotics (Pepper),LSTM Autoencoder,WheelsControl,15,LaserR14X,0.060981
Robotics (Pepper),LSTM Autoencoder,WheelsControl,16,LaserVeR01Y,0.057404
Robotics (Pepper),LSTM Autoencoder,WheelsControl,17,LaserR14Y,0.057219
Robotics (Pepper),LSTM Autoencoder,WheelsControl,18,AccelerometerY,0.055159
Robotics (Pepper),LSTM Autoencoder,WheelsControl,19,LElbowRollStiff,0.053436
Robotics (Pepper),LSTM Autoencoder,WheelsControl,20,LWristYawStiff,0.052101
Robotics (Pepper),LSTM Autoencoder,WheelsControl,21,LShoulderRollStiff,0.046662
Robotics (Pepper),LSTM Autoencoder,WheelsControl,22,RWristYawStiff,0.046322
Robotics (Pepper),LSTM Autoencoder,WheelsControl,23,LaserVeL01Y,0.039077
Robotics (Pepper),LSTM Autoencoder,WheelsControl,24,RWristYaw,0.037646
Robotics (Pepper),LSTM Autoencoder,WheelsControl,25,SonarB,0.036035
Robotics (Pepper),LSTM Autoencoder,WheelsControl,26,RShoulderPitch,0.035435
Robotics (Pepper),LSTM Autoencoder,WheelsControl,27,GyroscopeY,0.034167
Robotics (Pepper),LSTM Autoencoder,WheelsControl,28,LedEarR8,0.033610
Robotics (Pepper),LSTM Autoencoder,WheelsControl,29,LedEarL10,0.032691
Robotics (Pepper),LSTM Autoencoder,WheelsControl,30,LedEarL4,0.032382
Robotics (Pepper),LSTM Autoencoder,WheelsControl,31,LedEarL9,0.031446
Robotics (Pepper),LSTM Autoencoder,WheelsControl,32,LaserVeR01X,0.031375
Robotics (Pepper),LSTM Autoencoder,WheelsControl,33,LaserF08Y.1,0.030956
Robotics (Pepper),LSTM Autoencoder,WheelsControl,34,LedEarR9,0.030652
Robotics (Pepper),LSTM Autoencoder,WheelsControl,35,LaserF06Y,0.030206
Robotics (Pepper),LSTM Autoencoder,WheelsControl,36,LaserR13Y,0.029715
Robotics (Pepper),LSTM Autoencoder,WheelsControl,37,LedEarR1,0.029674
Robotics (Pepper),LSTM Autoencoder,WheelsControl,38,LedEarL8,0.029659
Robotics (Pepper),LSTM Autoencoder,WheelsControl,39,LedEarR4,0.029330
Robotics (Pepper),LSTM Autoencoder,WheelsControl,40,InfraRedL,0.028849
Robotics (Pepper),LSTM Autoencoder,WheelsControl,41,LedEarR2,0.028752
Robotics (Pepper),LSTM Autoencoder,WheelsControl,42,LedEarL6,0.028585
Robotics (Pepper),LSTM Autoencoder,WheelsControl,43,LedEarL5,0.028287
Robotics (Pepper),LSTM Autoencoder,WheelsControl,44,LaserF08X.1,0.027974
Robotics (Pepper),LSTM Autoencoder,WheelsControl,45,GyroscopeX,0.027359
Robotics (Pepper),LSTM Autoencoder,WheelsControl,46,LedEarR5,0.026966
Robotics (Pepper),LSTM Autoencoder,WheelsControl,47,AccelerometerZ,0.026816
Robotics (Pepper),LSTM Autoencoder,WheelsControl,48,HeadYawStiff,0.026793
Robotics (Pepper),LSTM Autoencoder,WheelsControl,49,LedEarR7,0.026767
Robotics (Pepper),LSTM Autoencoder,WheelsControl,50,LedEarR6,0.026214
Robotics (Pepper),LSTM Autoencoder,WheelsControl,51,LedEarL7,0.026178
Robotics (Pepper),LSTM Autoencoder,WheelsControl,52,LaserF06X,0.025367
Robotics (Pepper),LSTM Autoencoder,WheelsControl,53,LedEarR10,0.025239
Robotics (Pepper),LSTM Autoencoder,WheelsControl,54,LedEarL1,0.024711
Robotics (Pepper),LSTM Autoencoder,WheelsControl,55,HeadYaw,0.022950
