Dataset,Model Variant,Fault Name,Rank,Variable,Score,Share (%),Cumulative Share (%)
Robotics (Pepper),LSTM Autoencoder,JointControl,1,RShoulderPitch,0.295323,11.1019,11.102
Robotics (Pepper),LSTM Autoencoder,JointControl,2,SonarB,0.115911,4.3574,15.459
Robotics (Pepper),LSTM Autoencoder,JointControl,3,LShoulderPitch,0.066175,2.4877,17.947
Robotics (Pepper),LSTM Autoencoder,JointControl,4,RShoulderRoll,0.056845,2.1369,20.084
Robotics (Pepper),LSTM Autoencoder,JointControl,5,HipRoll,0.056381,2.1195,22.203
Robotics (Pepper),LSTM Autoencoder,JointControl,6,LaserVeR01X,0.047957,1.8028,24.006
Robotics (Pepper),LSTM Autoencoder,JointControl,7,LedEarR3,0.042619,1.6021,25.608
Robotics (Pepper),LSTM Autoencoder,JointControl,8,RWristYaw,0.03886,1.4608,27.069
Robotics (Pepper),LSTM Autoencoder,JointControl,9,LedEarL3,0.036527,1.3731,28.442
Robotics (Pepper),LSTM Autoencoder,JointControl,10,AccelerometerX,0.034157,1.284,29.726
Robotics (Pepper),LSTM Autoencoder,JointControl,11,RElbowYawStiff,0.027428,1.0311,30.757
Robotics (Pepper),LSTM Autoencoder,JointControl,12,InfraRedL,0.026806,1.0077,31.765
Robotics (Pepper),LSTM Autoencoder,JointControl,13,LaserF03Y,0.026581,0.9992,32.764
Robotics (Pepper),LSTM Autoencoder,JointControl,14,RShoulderPitchStiff,0.026545,0.9979,33.762
Robotics (Pepper),LSTM Autoencoder,JointControl,15,LaserF03X,0.025914,0.9742,34.736
Robotics (Pepper),LSTM Autoencoder,JointControl,16,LaserF07X,0.025724,0.967,35.703
Robotics (Pepper),LSTM Autoencoder,JointControl,17,RElbowRollStiff,0.024127,0.907,36.61
Robotics (Pepper),LSTM Autoencoder,JointControl,18,LHandStiff,0.02398,0.9015,37.512
Robotics (Pepper),LSTM Autoencoder,JointControl,19,RShoulderRollStiff,0.023697,0.8908,38.403
Robotics (Pepper),LSTM Autoencoder,JointControl,20,LedEarL8,0.023029,0.8657,39.268
Robotics (Pepper),LSTM Autoencoder,JointControl,21,LWristYawStiff,0.021482,0.8076,40.076
Robotics (Pepper),LSTM Autoencoder,JointControl,22,LedEarR5,0.021179,0.7962,40.872
Robotics (Pepper),LSTM Autoencoder,JointControl,23,LaserF07Y,0.021105,0.7934,41.666
Robotics (Pepper),LSTM Autoencoder,JointControl,24,LShoulderPitchStiff,0.020733,0.7794,42.445
Robotics (Pepper),LSTM Autoencoder,JointControl,25,LedEarR8,0.020434,0.7682,43.213
Robotics (Pepper),LSTM Autoencoder,JointControl,26,LElbowYawStiff,0.020235,0.7607,43.974
Robotics (Pepper),LSTM Autoencoder,JointControl,27,LShoulderRoll,0.020151,0.7575,44.731
Robotics (Pepper),LSTM Autoencoder,JointControl,28,LedEarL5,0.019748,0.7424,45.474
Robotics (Pepper),LSTM Autoencoder,JointControl,29,LedEarL7,0.01954,0.7346,46.208
Robotics (Pepper),LSTM Autoencoder,JointControl,30,LedEarR2,0.019028,0.7153,46.924
Robotics (Pepper),LSTM Autoencoder,JointControl,31,RElbowRoll,0.018942,0.7121,47.636
Robotics (Pepper),LSTM Autoencoder,JointControl,32,LedEarL10,0.018677,0.7021,48.338
Robotics (Pepper),LSTM Autoencoder,JointControl,33,LedEarL9,0.018502,0.6955,49.033
Robotics (Pepper),LSTM Autoencoder,JointControl,34,LedEarR7,0.018441,0.6932,49.727
Robotics (Pepper),LSTM Autoencoder,JointControl,35,LedEarL4,0.018199,0.6841,50.411
Robotics (Pepper),LSTM Autoencoder,JointControl,36,LedEarR4,0.018184,0.6836,51.094
Robotics (Pepper),LSTM Autoencoder,JointControl,37,LedEarR10,0.018105,0.6806,51.775
Robotics (Pepper),LSTM Autoencoder,JointControl,38,LElbowRollStiff,0.018081,0.6797,52.455
Robotics (Pepper),LSTM Autoencoder,JointControl,39,LedEarR6,0.017993,0.6764,53.131
Robotics (Pepper),LSTM Autoencoder,JointControl,40,LedEarR9,0.017892,0.6726,53.804
Robotics (Pepper),LSTM Autoencoder,JointControl,41,LedEarL1,0.017759,0.6676,54.471
Robotics (Pepper),LSTM Autoencoder,JointControl,42,LaserF05X,0.017541,0.6594,55.131
Robotics (Pepper),LSTM Autoencoder,JointControl,43,LedEarL6,0.017082,0.6422,55.773
Robotics (Pepper),LSTM Autoencoder,JointControl,44,LaserF11Y,0.016961,0.6376,56.41
Robotics (Pepper),LSTM Autoencoder,JointControl,45,LedEarR1,0.016832,0.6328,57.043
Robotics (Pepper),LSTM Autoencoder,JointControl,46,RElbowYaw,0.016783,0.6309,57.674
Robotics (Pepper),LSTM Autoencoder,JointControl,47,HeadYaw,0.016167,0.6078,58.282
Robotics (Pepper),LSTM Autoencoder,JointControl,48,LaserF05Y,0.015826,0.5949,58.877
Robotics (Pepper),LSTM Autoencoder,JointControl,49,LedEarL2,0.015773,0.5929,59.47
Robotics (Pepper),LSTM Autoencoder,JointControl,50,LShoulderRollStiff,0.014545,0.5468,60.016
Robotics (Pepper),LSTM Autoencoder,JointControl,51,LaserF11X,0.0145,0.5451,60.561
Robotics (Pepper),LSTM Autoencoder,JointControl,52,Rhand,0.014459,0.5435,61.105
Robotics (Pepper),LSTM Autoencoder,JointControl,53,RWristYawStiff,0.014311,0.538,61.643
Robotics (Pepper),LSTM Autoencoder,JointControl,54,LaserF06X,0.013972,0.5252,62.168
Robotics (Pepper),LSTM Autoencoder,JointControl,55,LHand,0.013967,0.5251,62.693
Robotics (Pepper),LSTM Autoencoder,JointControl,56,LaserVeR01Y,0.013586,0.5107,63.204
Robotics (Pepper),LSTM Autoencoder,JointControl,57,LaserF06Y,0.013447,0.5055,63.71
Robotics (Pepper),LSTM Autoencoder,JointControl,58,GyroscopeZ,0.013077,0.4916,64.201
Robotics (Pepper),LSTM Autoencoder,JointControl,59,AccelerometerY,0.012782,0.4805,64.682
Robotics (Pepper),LSTM Autoencoder,JointControl,60,WheelFRSpeed,0.012554,0.4719,65.154
Robotics (Pepper),LSTM Autoencoder,JointControl,61,WheelFLSpeed,0.012493,0.4696,65.623
Robotics (Pepper),LSTM Autoencoder,JointControl,62,WheelBSpeed,0.012431,0.4673,66.091
Robotics (Pepper),LSTM Autoencoder,JointControl,63,LaserF14X,0.011939,0.4488,66.539
Robotics (Pepper),LSTM Autoencoder,JointControl,64,RhandStiff,0.011793,0.4433,66.983
Robotics (Pepper),LSTM Autoencoder,JointControl,65,LaserF14Y,0.011479,0.4315,67.414
