Dataset,Model Variant,Fault Name,Rank,Variable,Score
Healthcare (ECG),Linear / Ridge,Attack_1,1,I,2.155269
Healthcare (ECG),Linear / Ridge,Attack_1,2,AVF,2.123503
Healthcare (ECG),Linear / Ridge,Attack_1,3,AVL,2.035185
Healthcare (ECG),Linear / Ridge,Attack_1,4,III,1.829991
Healthcare (ECG),Linear / Ridge,Attack_1,5,V6,1.816320
Healthcare (ECG),Linear / Ridge,Attack_1,6,II,1.542022
Healthcare (ECG),Linear / Ridge,Attack_1,7,AVR,1.504614
Healthcare (ECG),Linear / Ridge,Attack_1,8,V5,1.410002
Healthcare (ECG),Linear / Ridge,Attack_1,9,V4,1.251598
Healthcare (ECG),Linear / Ridge,Attack_1,10,V3,1.228948
Healthcare (ECG),Linear / Ridge,Attack_1,11,V1,1.128439
Healthcare (ECG),Linear / Ridge,Attack_1,12,V2,0.964887
Healthcare (ECG),Linear / Ridge,Attack_2,1,V4,4.272845
Healthcare (ECG),Linear / Ridge,Attack_2,2,V5,3.068024
Healthcare (ECG),Linear / Ridge,Attack_2,3,AVR,2.632182
Healthcare (ECG),Linear / Ridge,Attack_2,4,V6,2.471692
Healthcare (ECG),Linear / Ridge,Attack_2,5,V3,2.196060
Healthcare (ECG),Linear / Ridge,Attack_2,6,II,2.154350
Healthcare (ECG),Linear / Ridge,Attack_2,7,AVF,1.947603
Healthcare (ECG),Linear / Ridge,Attack_2,8,I,1.605801
Healthcare (ECG),Linear / Ridge,Attack_2,9,V1,1.416965
Healthcare (ECG),Linear / Ridge,Attack_2,10,III,1.266639
Healthcare (ECG),Linear / Ridge,Attack_2,11,AVL,1.004856
Healthcare (ECG),Linear / Ridge,Attack_2,12,V2,0.859304
Healthcare (ECG),Linear / Ridge,Attack_3,1,V3,2.180652
Healthcare (ECG),Linear / Ridge,Attack_3,2,V2,2.122449
Healthcare (ECG),Linear / Ridge,Attack_3,3,III,1.691773
Healthcare (ECG),Linear / Ridge,Attack_3,4,V6,1.673141
Healthcare (ECG),Linear / Ridge,Attack_3,5,AVF,1.649445
Healthcare (ECG),Linear / Ridge,Attack_3,6,AVL,1.591182
Healthcare (ECG),Linear / Ridge,Attack_3,7,I,1.553964
Healthcare (ECG),Linear / Ridge,Attack_3,8,V4,1.308303
Healthcare (ECG),Linear / Ridge,Attack_3,9,II,1.259600
Healthcare (ECG),Linear / Ridge,Attack_3,10,V5,1.038484
Healthcare (ECG),Linear / Ridge,Attack_3,11,AVR,1.000005
Healthcare (ECG),Linear / Ridge,Attack_3,12,V1,0.473407
Healthcare (ECG),Linear / Ridge,Attack_4,1,V2,3.242872
Healthcare (ECG),Linear / Ridge,Attack_4,2,I,2.853417
Healthcare (ECG),Linear / Ridge,Attack_4,3,V3,2.650371
Healthcare (ECG),Linear / Ridge,Attack_4,4,V6,2.124890
Healthcare (ECG),Linear / Ridge,Attack_4,5,AVF,2.056617
Healthcare (ECG),Linear / Ridge,Attack_4,6,III,1.835209
Healthcare (ECG),Linear / Ridge,Attack_4,7,II,1.712854
Healthcare (ECG),Linear / Ridge,Attack_4,8,V4,1.597521
Healthcare (ECG),Linear / Ridge,Attack_4,9,AVL,1.507581
Healthcare (ECG),Linear / Ridge,Attack_4,10,AVR,1.459086
Healthcare (ECG),Linear / Ridge,Attack_4,11,V5,1.444544
Healthcare (ECG),Linear / Ridge,Attack_4,12,V1,0.778338
Healthcare (ECG),Linear / Ridge,Attack_5,1,V5,1.364425
Healthcare (ECG),Linear / Ridge,Attack_5,2,V4,1.178987
Healthcare (ECG),Linear / Ridge,Attack_5,3,V2,1.087771
Healthcare (ECG),Linear / Ridge,Attack_5,4,V3,1.038528
Healthcare (ECG),Linear / Ridge,Attack_5,5,V6,0.986710
Healthcare (ECG),Linear / Ridge,Attack_5,6,AVL,0.969570
Healthcare (ECG),Linear / Ridge,Attack_5,7,I,0.942098
Healthcare (ECG),Linear / Ridge,Attack_5,8,III,0.849989
Healthcare (ECG),Linear / Ridge,Attack_5,9,V1,0.740456
Healthcare (ECG),Linear / Ridge,Attack_5,10,II,0.640364
Healthcare (ECG),Linear / Ridge,Attack_5,11,AVR,0.617181
Healthcare (ECG),Linear / Ridge,Attack_5,12,AVF,0.568935
Healthcare (ECG),Linear / Ridge,Attack_6,1,V6,3.300788
Healthcare (ECG),Linear / Ridge,Attack_6,2,AVF,1.884331
Healthcare (ECG),Linear / Ridge,Attack_6,3,I,1.823091
Healthcare (ECG),Linear / Ridge,Attack_6,4,II,1.664037
Healthcare (ECG),Linear / Ridge,Attack_6,5,III,1.631879
Healthcare (ECG),Linear / Ridge,Attack_6,6,V2,1.614491
Healthcare (ECG),Linear / Ridge,Attack_6,7,V3,1.501307
Healthcare (ECG),Linear / Ridge,Attack_6,8,AVR,1.461665
Healthcare (ECG),Linear / Ridge,Attack_6,9,AVL,1.350081
Healthcare (ECG),Linear / Ridge,Attack_6,10,V5,1.178096
Healthcare (ECG),Linear / Ridge,Attack_6,11,V4,1.040018
Healthcare (ECG),Linear / Ridge,Attack_6,12,V1,0.443469
Healthcare (ECG),Linear / Ridge,Attack_7,1,AVR,2.298655
Healthcare (ECG),Linear / Ridge,Attack_7,2,I,2.047675
Healthcare (ECG),Linear / Ridge,Attack_7,3,AVL,1.634233
Healthcare (ECG),Linear / Ridge,Attack_7,4,V5,1.500335
Healthcare (ECG),Linear / Ridge,Attack_7,5,II,1.480936
Healthcare (ECG),Linear / Ridge,Attack_7,6,V6,1.316485
Healthcare (ECG),Linear / Ridge,Attack_7,7,V3,1.257780
Healthcare (ECG),Linear / Ridge,Attack_7,8,V4,1.252491
Healthcare (ECG),Linear / Ridge,Attack_7,9,V2,0.885493
Healthcare (ECG),Linear / Ridge,Attack_7,10,AVF,0.665909
Healthcare (ECG),Linear / Ridge,Attack_7,11,III,0.601847
Healthcare (ECG),Linear / Ridge,Attack_7,12,V1,0.549979
Healthcare (ECG),Linear / Ridge,Attack_8,1,V4,2.595422
Healthcare (ECG),Linear / Ridge,Attack_8,2,V3,1.986608
Healthcare (ECG),Linear / Ridge,Attack_8,3,V2,1.864169
Healthcare (ECG),Linear / Ridge,Attack_8,4,I,1.709688
Healthcare (ECG),Linear / Ridge,Attack_8,5,V1,1.672532
Healthcare (ECG),Linear / Ridge,Attack_8,6,V6,1.144060
Healthcare (ECG),Linear / Ridge,Attack_8,7,AVL,1.097561
Healthcare (ECG),Linear / Ridge,Attack_8,8,V5,0.812337
Healthcare (ECG),Linear / Ridge,Attack_8,9,AVR,0.725581
Healthcare (ECG),Linear / Ridge,Attack_8,10,III,0.675100
Healthcare (ECG),Linear / Ridge,Attack_8,11,II,0.435481
Healthcare (ECG),Linear / Ridge,Attack_8,12,AVF,0.343407
Healthcare (ECG),Linear / Ridge,Attack_9,1,V3,1.908648
Healthcare (ECG),Linear / Ridge,Attack_9,2,V2,1.537806
Healthcare (ECG),Linear / Ridge,Attack_9,3,AVF,1.389044
Healthcare (ECG),Linear / Ridge,Attack_9,4,III,1.336310
Healthcare (ECG),Linear / Ridge,Attack_9,5,V6,1.291454
Healthcare (ECG),Linear / Ridge,Attack_9,6,II,1.167593
Healthcare (ECG),Linear / Ridge,Attack_9,7,V4,1.062782
Healthcare (ECG),Linear / Ridge,Attack_9,8,AVL,1.061575
Healthcare (ECG),Linear / Ridge,Attack_9,9,AVR,1.044177
Healthcare (ECG),Linear / Ridge,Attack_9,10,V5,1.033259
Healthcare (ECG),Linear / Ridge,Attack_9,11,I,0.783945
Healthcare (ECG),Linear / Ridge,Attack_9,12,V1,0.545595
Healthcare (ECG),Linear / Ridge,Attack_10,1,V3,1.444029
Healthcare (ECG),Linear / Ridge,Attack_10,2,V2,1.188823
Healthcare (ECG),Linear / Ridge,Attack_10,3,V6,1.057662
Healthcare (ECG),Linear / Ridge,Attack_10,4,AVF,0.954929
Healthcare (ECG),Linear / Ridge,Attack_10,5,III,0.941597
Healthcare (ECG),Linear / Ridge,Attack_10,6,AVL,0.837438
Healthcare (ECG),Linear / Ridge,Attack_10,7,II,0.811142
Healthcare (ECG),Linear / Ridge,Attack_10,8,V1,0.750807
Healthcare (ECG),Linear / Ridge,Attack_10,9,V4,0.657506
Healthcare (ECG),Linear / Ridge,Attack_10,10,V5,0.634467
Healthcare (ECG),Linear / Ridge,Attack_10,11,AVR,0.613336
Healthcare (ECG),Linear / Ridge,Attack_10,12,I,0.608515
Healthcare (ECG),Linear / Ridge,Attack_11,1,AVL,2.647735
Healthcare (ECG),Linear / Ridge,Attack_11,2,I,2.644764
Healthcare (ECG),Linear / Ridge,Attack_11,3,V6,2.363830
Healthcare (ECG),Linear / Ridge,Attack_11,4,III,2.330313
Healthcare (ECG),Linear / Ridge,Attack_11,5,AVF,2.142535
Healthcare (ECG),Linear / Ridge,Attack_11,6,V2,1.532830
Healthcare (ECG),Linear / Ridge,Attack_11,7,II,1.405078
Healthcare (ECG),Linear / Ridge,Attack_11,8,V3,1.148079
Healthcare (ECG),Linear / Ridge,Attack_11,9,AVR,0.916012
Healthcare (ECG),Linear / Ridge,Attack_11,10,V4,0.658762
Healthcare (ECG),Linear / Ridge,Attack_11,11,V5,0.642078
Healthcare (ECG),Linear / Ridge,Attack_11,12,V1,0.553024
Healthcare (ECG),Linear / Ridge,Attack_12,1,I,2.767355
Healthcare (ECG),Linear / Ridge,Attack_12,2,V5,1.542354
Healthcare (ECG),Linear / Ridge,Attack_12,3,V4,1.269002
Healthcare (ECG),Linear / Ridge,Attack_12,4,V3,1.185194
Healthcare (ECG),Linear / Ridge,Attack_12,5,V6,1.151164
Healthcare (ECG),Linear / Ridge,Attack_12,6,AVL,1.025225
Healthcare (ECG),Linear / Ridge,Attack_12,7,V2,0.966521
Healthcare (ECG),Linear / Ridge,Attack_12,8,AVR,0.931353
Healthcare (ECG),Linear / Ridge,Attack_12,9,V1,0.790271
Healthcare (ECG),Linear / Ridge,Attack_12,10,II,0.655203
Healthcare (ECG),Linear / Ridge,Attack_12,11,III,0.551487
Healthcare (ECG),Linear / Ridge,Attack_12,12,AVF,0.332737
Healthcare (ECG),Linear / Ridge,Attack_13,1,AVL,1.678278
Healthcare (ECG),Linear / Ridge,Attack_13,2,III,1.657202
Healthcare (ECG),Linear / Ridge,Attack_13,3,AVF,1.470991
Healthcare (ECG),Linear / Ridge,Attack_13,4,V6,1.081075
Healthcare (ECG),Linear / Ridge,Attack_13,5,II,1.055772
Healthcare (ECG),Linear / Ridge,Attack_13,6,V5,1.042121
Healthcare (ECG),Linear / Ridge,Attack_13,7,V4,0.982029
Healthcare (ECG),Linear / Ridge,Attack_13,8,V3,0.888504
Healthcare (ECG),Linear / Ridge,Attack_13,9,V1,0.725833
Healthcare (ECG),Linear / Ridge,Attack_13,10,I,0.678953
Healthcare (ECG),Linear / Ridge,Attack_13,11,V2,0.649603
Healthcare (ECG),Linear / Ridge,Attack_13,12,AVR,0.618356
Healthcare (ECG),Linear / Ridge,Attack_14,1,II,1.362513
Healthcare (ECG),Linear / Ridge,Attack_14,2,AVR,1.235256
