Dataset,Model Variant,Fault Name,Top Variable 1,Top Variable 2,Top Variable 3
Healthcare (ECG),Linear / Ridge,Attack_1,I,AVF,AVL
Healthcare (ECG),Linear / Ridge,Attack_2,V4,V5,AVR
Healthcare (ECG),Linear / Ridge,Attack_3,V3,V2,III
Healthcare (ECG),Linear / Ridge,Attack_4,V2,I,V3
Healthcare (ECG),Linear / Ridge,Attack_5,V5,V4,V2
Healthcare (ECG),Linear / Ridge,Attack_6,V6,AVF,I
Healthcare (ECG),Linear / Ridge,Attack_7,AVR,I,AVL
Healthcare (ECG),Linear / Ridge,Attack_8,V4,V3,V2
Healthcare (ECG),Linear / Ridge,Attack_9,V3,V2,AVF
Healthcare (ECG),Linear / Ridge,Attack_10,V3,V2,V6
Healthcare (ECG),Linear / Ridge,Attack_11,AVL,I,V6
Healthcare (ECG),Linear / Ridge,Attack_12,I,V5,V4
Healthcare (ECG),Linear / Ridge,Attack_13,AVL,III,AVF
Healthcare (ECG),Linear / Ridge,Attack_14,II,AVR,AVF
Healthcare (ECG),Linear / Ridge,Attack_15,V6,I,AVR
Healthcare (ECG),Linear / Ridge,Attack_16,V2,V3,I
Healthcare (ECG),Linear / Ridge,Attack_17,V5,AVL,V6
Healthcare (ECG),Linear / Ridge,Attack_18,V5,V6,I
Healthcare (ECG),Linear / Ridge,Attack_19,AVL,I,III
Healthcare (ECG),Linear / Ridge,Attack_20,V3,V2,V4
Healthcare (ECG),Polynomial degree 3,Attack_1,AVL,I,V6
Healthcare (ECG),Polynomial degree 3,Attack_2,V4,II,AVR
Healthcare (ECG),Polynomial degree 3,Attack_3,V6,III,V2
Healthcare (ECG),Polynomial degree 3,Attack_4,I,AVF,III
Healthcare (ECG),Polynomial degree 3,Attack_5,V2,AVL,V1
Healthcare (ECG),Polynomial degree 3,Attack_6,AVF,V6,III
Healthcare (ECG),Polynomial degree 3,Attack_7,I,AVR,II
Healthcare (ECG),Polynomial degree 3,Attack_8,AVL,V2,V4
Healthcare (ECG),Polynomial degree 3,Attack_9,V6,V3,AVF
Healthcare (ECG),Polynomial degree 3,Attack_10,V3,I,V2
Healthcare (ECG),Polynomial degree 3,Attack_11,I,AVF,AVL
Healthcare (ECG),Polynomial degree 3,Attack_12,I,AVL,V5
Healthcare (ECG),Polynomial degree 3,Attack_13,III,AVF,AVL
Healthcare (ECG),Polynomial degree 3,Attack_14,AVR,II,V5
Healthcare (ECG),Polynomial degree 3,Attack_15,V6,AVR,II
Healthcare (ECG),Polynomial degree 3,Attack_16,V3,V2,V4
Healthcare (ECG),Polynomial degree 3,Attack_17,AVL,III,V5
Healthcare (ECG),Polynomial degree 3,Attack_18,V5,V4,V6
Healthcare (ECG),Polynomial degree 3,Attack_19,AVL,III,AVF
Healthcare (ECG),Polynomial degree 3,Attack_20,V3,V4,V2
Healthcare (ECG),RBF + Ridge,Attack_1,III,II,AVF
Healthcare (ECG),RBF + Ridge,Attack_2,V4,V5,AVL
Healthcare (ECG),RBF + Ridge,Attack_3,V2,V3,V5
Healthcare (ECG),RBF + Ridge,Attack_4,V5,V6,V4
Healthcare (ECG),RBF + Ridge,Attack_5,V2,I,V5
Healthcare (ECG),RBF + Ridge,Attack_6,V6,V5,V4
Healthcare (ECG),RBF + Ridge,Attack_7,I,AVR,AVL
Healthcare (ECG),RBF + Ridge,Attack_8,V4,V2,V1
Healthcare (ECG),RBF + Ridge,Attack_9,II,III,AVF
Healthcare (ECG),RBF + Ridge,Attack_10,V3,V2,AVF
Healthcare (ECG),RBF + Ridge,Attack_11,V3,AVL,I
Healthcare (ECG),RBF + Ridge,Attack_12,I,AVL,AVR
Healthcare (ECG),RBF + Ridge,Attack_13,III,II,AVL
Healthcare (ECG),RBF + Ridge,Attack_14,AVF,I,AVR
Healthcare (ECG),RBF + Ridge,Attack_15,V6,I,V2
Healthcare (ECG),RBF + Ridge,Attack_16,V2,V3,V4
Healthcare (ECG),RBF + Ridge,Attack_17,V5,III,AVL
Healthcare (ECG),RBF + Ridge,Attack_18,V5,V6,V4
Healthcare (ECG),RBF + Ridge,Attack_19,I,V6,V5
Healthcare (ECG),RBF + Ridge,Attack_20,V5,V3,V4
