Dataset,Model Variant,Fault Name,Rank,Variable,Score
Industrial (TEP),Linear / Ridge,Fault_1,1,XMEAS_1,76.464785
Industrial (TEP),Linear / Ridge,Fault_1,2,XMEAS_19,47.815670
Industrial (TEP),Linear / Ridge,Fault_1,3,XMEAS_20,25.896039
Industrial (TEP),Linear / Ridge,Fault_1,4,XMV_3,20.595181
Industrial (TEP),Linear / Ridge,Fault_1,5,XMEAS_16,17.000925
Industrial (TEP),Linear / Ridge,Fault_1,6,XMEAS_18,16.666361
Industrial (TEP),Linear / Ridge,Fault_1,7,XMEAS_28,16.509766
Industrial (TEP),Linear / Ridge,Fault_1,8,XMV_6,14.211000
Industrial (TEP),Linear / Ridge,Fault_1,9,XMEAS_38,11.445102
Industrial (TEP),Linear / Ridge,Fault_1,10,XMV_9,9.334737
Industrial (TEP),Linear / Ridge,Fault_1,11,XMV_4,8.431377
Industrial (TEP),Linear / Ridge,Fault_1,12,XMEAS_29,8.291057
Industrial (TEP),Linear / Ridge,Fault_1,13,XMEAS_25,8.254997
Industrial (TEP),Linear / Ridge,Fault_1,14,XMEAS_23,7.898914
Industrial (TEP),Linear / Ridge,Fault_1,15,XMEAS_13,7.888826
Industrial (TEP),Linear / Ridge,Fault_1,16,XMEAS_21,7.883212
Industrial (TEP),Linear / Ridge,Fault_1,17,XMEAS_31,7.261882
Industrial (TEP),Linear / Ridge,Fault_1,18,XMEAS_11,7.256977
Industrial (TEP),Linear / Ridge,Fault_1,19,XMEAS_7,6.488814
Industrial (TEP),Linear / Ridge,Fault_1,20,XMV_5,6.361410
Industrial (TEP),Linear / Ridge,Fault_1,21,XMEAS_3,6.045322
Industrial (TEP),Linear / Ridge,Fault_1,22,XMEAS_34,5.221528
Industrial (TEP),Linear / Ridge,Fault_1,23,XMEAS_10,4.960220
Industrial (TEP),Linear / Ridge,Fault_1,24,XMEAS_36,4.297520
Industrial (TEP),Linear / Ridge,Fault_1,25,XMV_10,3.246535
Industrial (TEP),Linear / Ridge,Fault_1,26,XMEAS_30,2.742594
Industrial (TEP),Linear / Ridge,Fault_1,27,XMEAS_32,2.639437
Industrial (TEP),Linear / Ridge,Fault_1,28,XMV_1,2.056558
