Dataset,Model Variant,Fault Name,Top Variable 1,Top Variable 2,Top Variable 3
Industrial (TEP),Linear / Ridge,Fault_1,XMEAS_1,XMEAS_19,XMEAS_20
Industrial (TEP),Linear / Ridge,Fault_2,XMEAS_28,XMEAS_10,XMEAS_19
Industrial (TEP),Linear / Ridge,Fault_3,XMEAS_20,XMEAS_21,XMV_6
Industrial (TEP),Linear / Ridge,Fault_4,XMV_10,XMEAS_9,XMEAS_20
Industrial (TEP),Linear / Ridge,Fault_5,XMEAS_20,XMV_11,XMEAS_19
Industrial (TEP),Linear / Ridge,Fault_6,XMEAS_21,XMEAS_28,XMV_5
Industrial (TEP),Linear / Ridge,Fault_7,XMV_4,XMEAS_20,XMEAS_19
Industrial (TEP),Linear / Ridge,Fault_8,XMEAS_28,XMEAS_20,XMEAS_10
Industrial (TEP),Linear / Ridge,Fault_9,XMEAS_20,XMV_6,XMEAS_28
Industrial (TEP),Linear / Ridge,Fault_10,XMEAS_20,XMEAS_18,XMEAS_38
Industrial (TEP),Linear / Ridge,Fault_11,XMV_10,XMEAS_20,XMV_6
Industrial (TEP),Linear / Ridge,Fault_12,XMEAS_20,XMEAS_16,XMEAS_19
Industrial (TEP),Linear / Ridge,Fault_13,XMEAS_19,XMEAS_20,XMEAS_16
Industrial (TEP),Linear / Ridge,Fault_14,XMEAS_21,XMEAS_9,XMV_10
Industrial (TEP),Linear / Ridge,Fault_15,XMEAS_20,XMV_6,XMEAS_28
Industrial (TEP),Linear / Ridge,Fault_16,XMEAS_20,XMV_6,XMEAS_19
Industrial (TEP),Linear / Ridge,Fault_17,XMEAS_21,XMV_10,XMEAS_9
Industrial (TEP),Linear / Ridge,Fault_18,XMV_1,XMV_5,XMV_10
Industrial (TEP),Linear / Ridge,Fault_19,XMV_6,XMV_5,XMEAS_28
Industrial (TEP),Linear / Ridge,Fault_20,XMV_5,XMEAS_20,XMEAS_13
Industrial (TEP),Polynomial degree 3,Fault_1,XMEAS_1,XMEAS_20,XMV_3
Industrial (TEP),Polynomial degree 3,Fault_2,XMEAS_28,XMEAS_10,XMEAS_19
Industrial (TEP),Polynomial degree 3,Fault_3,XMEAS_38,XMEAS_20,XMEAS_1
Industrial (TEP),Polynomial degree 3,Fault_4,XMV_10,XMEAS_9,XMEAS_20
Industrial (TEP),Polynomial degree 3,Fault_5,XMEAS_20,XMV_11,XMEAS_18
Industrial (TEP),Polynomial degree 3,Fault_6,XMV_10,XMEAS_21,XMEAS_23
Industrial (TEP),Polynomial degree 3,Fault_7,XMV_4,XMEAS_20,XMEAS_16
Industrial (TEP),Polynomial degree 3,Fault_8,XMEAS_29,XMEAS_20,XMEAS_34
Industrial (TEP),Polynomial degree 3,Fault_9,XMEAS_38,XMEAS_20,XMEAS_1
Industrial (TEP),Polynomial degree 3,Fault_10,XMEAS_18,XMEAS_20,XMEAS_38
Industrial (TEP),Polynomial degree 3,Fault_11,XMV_10,XMEAS_38,XMEAS_20
Industrial (TEP),Polynomial degree 3,Fault_12,XMEAS_20,XMEAS_18,XMEAS_21
Industrial (TEP),Polynomial degree 3,Fault_13,XMEAS_38,XMEAS_16,XMEAS_20
Industrial (TEP),Polynomial degree 3,Fault_14,XMEAS_21,XMV_10,XMEAS_9
Industrial (TEP),Polynomial degree 3,Fault_15,XMEAS_20,XMEAS_38,XMV_6
Industrial (TEP),Polynomial degree 3,Fault_16,XMEAS_20,XMEAS_38,XMV_9
Industrial (TEP),Polynomial degree 3,Fault_17,XMEAS_21,XMEAS_9,XMEAS_38
Industrial (TEP),Polynomial degree 3,Fault_18,XMEAS_20,XMV_1,XMV_5
Industrial (TEP),Polynomial degree 3,Fault_19,XMV_5,XMEAS_38,XMEAS_20
Industrial (TEP),Polynomial degree 3,Fault_20,XMV_5,XMEAS_20,XMEAS_13
Industrial (TEP),RBF + Ridge,Fault_1,XMEAS_1,XMV_3,XMV_9
Industrial (TEP),RBF + Ridge,Fault_2,XMEAS_10,XMV_6,XMEAS_28
Industrial (TEP),RBF + Ridge,Fault_3,XMEAS_21,XMEAS_14,XMV_9
Industrial (TEP),RBF + Ridge,Fault_4,XMV_10,XMEAS_9,XMEAS_14
Industrial (TEP),RBF + Ridge,Fault_5,XMEAS_18,XMV_9,XMEAS_38
Industrial (TEP),RBF + Ridge,Fault_6,XMV_10,XMEAS_16,XMV_3
Industrial (TEP),RBF + Ridge,Fault_7,XMEAS_38,XMV_9,XMEAS_18
Industrial (TEP),RBF + Ridge,Fault_8,XMEAS_38,XMV_3,XMEAS_10
Industrial (TEP),RBF + Ridge,Fault_9,XMEAS_38,XMEAS_14,XMV_9
Industrial (TEP),RBF + Ridge,Fault_10,XMEAS_18,XMV_9,XMEAS_38
Industrial (TEP),RBF + Ridge,Fault_11,XMEAS_9,XMV_10,XMEAS_38
Industrial (TEP),RBF + Ridge,Fault_12,XMEAS_38,XMEAS_13,XMEAS_7
Industrial (TEP),RBF + Ridge,Fault_13,XMV_9,XMEAS_18,XMEAS_13
Industrial (TEP),RBF + Ridge,Fault_14,XMEAS_9,XMV_10,XMEAS_21
Industrial (TEP),RBF + Ridge,Fault_15,XMEAS_38,XMV_9,XMEAS_18
Industrial (TEP),RBF + Ridge,Fault_16,XMEAS_38,XMEAS_18,XMV_9
Industrial (TEP),RBF + Ridge,Fault_17,XMEAS_21,XMV_10,XMEAS_9
Industrial (TEP),RBF + Ridge,Fault_18,XMEAS_20,XMEAS_21,XMEAS_13
Industrial (TEP),RBF + Ridge,Fault_19,XMEAS_38,XMEAS_18,XMV_9
Industrial (TEP),RBF + Ridge,Fault_20,XMV_5,XMEAS_20,XMEAS_13
