Dataset,Model Variant,Fault Name,Rank,Variable,Score
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,1,WheelFRTemp,10.119974
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,2,WheelBTemp,8.355686
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,3,WheelFRStiff,5.877613
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,4,HeadPicthTemp,4.807349
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,5,LElbowYawTemp,3.974934
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,6,WheelFLTemp,3.965607
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,7,RElbowYawTemp,3.396824
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,8,KneePicthTemp,3.137143
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,9,LShoulderRollTemp,2.966015
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,10,LaserShovel01X,2.802824
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,11,LaserShovel02X,2.782825
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,12,HipPicthTemp,2.716553
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,13,HeadYawTemp,2.711593
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,14,LaserShovel03X,2.704390
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,15,RShoulderRollTemp,2.688270
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,16,WheelBStiff,2.489625
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,17,LShoulderPitchTemp,2.451834
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,18,HipRollTemp,2.424356
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,19,RShoulderPitchTemp,1.952424
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,20,RhandTemp,1.831034
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,21,RWristYawTemp,1.723144
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,22,RElbowRollTemp,1.697996
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,23,LHandTemp,1.454852
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,24,LaserR07X,1.451568
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,25,LWristYawTemp,1.384138
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,26,LaserR06X,1.375879
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,27,LaserR05X,1.372402
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,28,LaserR09X,1.301760
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,29,LaserF01X,1.264584
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,30,LaserR08X,1.083949
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,31,LaserR11X,1.045445
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,32,LaserR12X,0.988035
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,33,LaserR15X,0.595988
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,34,TabletTouchX,0.044321
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,35,TabletTouchY,0.005955
Robotics (Pepper),Linear / Ridge,JointControl.csv,1,KneePicthTemp,12.080751
Robotics (Pepper),Linear / Ridge,JointControl.csv,2,WheelFRStiff,8.748888
Robotics (Pepper),Linear / Ridge,JointControl.csv,3,WheelFRTemp,7.475293
Robotics (Pepper),Linear / Ridge,JointControl.csv,4,WheelBTemp,7.432790
Robotics (Pepper),Linear / Ridge,JointControl.csv,5,HeadPicthTemp,6.005363
Robotics (Pepper),Linear / Ridge,JointControl.csv,6,HipPicthTemp,5.981920
Robotics (Pepper),Linear / Ridge,JointControl.csv,7,RElbowYawTemp,4.134774
Robotics (Pepper),Linear / Ridge,JointControl.csv,8,RElbowRollTemp,3.730424
Robotics (Pepper),Linear / Ridge,JointControl.csv,9,WheelBStiff,3.299666
Robotics (Pepper),Linear / Ridge,JointControl.csv,10,LElbowYawTemp,3.255785
Robotics (Pepper),Linear / Ridge,JointControl.csv,11,RShoulderRollTemp,3.078701
Robotics (Pepper),Linear / Ridge,JointControl.csv,12,LShoulderRollTemp,2.707825
Robotics (Pepper),Linear / Ridge,JointControl.csv,13,HeadYawTemp,2.551554
Robotics (Pepper),Linear / Ridge,JointControl.csv,14,LaserR09X,2.396484
Robotics (Pepper),Linear / Ridge,JointControl.csv,15,HipRollTemp,2.305634
Robotics (Pepper),Linear / Ridge,JointControl.csv,16,LShoulderPitchTemp,2.227203
Robotics (Pepper),Linear / Ridge,JointControl.csv,17,RShoulderPitchTemp,2.112846
Robotics (Pepper),Linear / Ridge,JointControl.csv,18,WheelFLTemp,1.982400
Robotics (Pepper),Linear / Ridge,JointControl.csv,19,LHandTemp,1.830075
Robotics (Pepper),Linear / Ridge,JointControl.csv,20,LaserR11X,1.817490
Robotics (Pepper),Linear / Ridge,JointControl.csv,21,LaserShovel01X,1.790574
Robotics (Pepper),Linear / Ridge,JointControl.csv,22,LaserShovel02X,1.777833
Robotics (Pepper),Linear / Ridge,JointControl.csv,23,LaserR12X,1.753639
Robotics (Pepper),Linear / Ridge,JointControl.csv,24,RhandTemp,1.728847
Robotics (Pepper),Linear / Ridge,JointControl.csv,25,LaserShovel03X,1.727773
Robotics (Pepper),Linear / Ridge,JointControl.csv,26,LaserF01X,1.581855
Robotics (Pepper),Linear / Ridge,JointControl.csv,27,LWristYawTemp,1.187239
Robotics (Pepper),Linear / Ridge,JointControl.csv,28,RWristYawTemp,1.182444
Robotics (Pepper),Linear / Ridge,JointControl.csv,29,LaserR15X,0.703752
Robotics (Pepper),Linear / Ridge,JointControl.csv,30,LaserR05X,0.521688
Robotics (Pepper),Linear / Ridge,JointControl.csv,31,LaserR08X,0.502567
Robotics (Pepper),Linear / Ridge,JointControl.csv,32,LaserR06X,0.244842
Robotics (Pepper),Linear / Ridge,JointControl.csv,33,LaserR07X,0.201877
Robotics (Pepper),Linear / Ridge,JointControl.csv,34,TabletTouchX,0.076756
Robotics (Pepper),Linear / Ridge,JointControl.csv,35,TabletTouchY,0.003301
Robotics (Pepper),Linear / Ridge,LedsControl.csv,1,TabletTouchX,116.116711
Robotics (Pepper),Linear / Ridge,LedsControl.csv,2,TabletTouchY,19.472784
Robotics (Pepper),Linear / Ridge,LedsControl.csv,3,WheelBStiff,13.194435
Robotics (Pepper),Linear / Ridge,LedsControl.csv,4,WheelFRTemp,8.916113
Robotics (Pepper),Linear / Ridge,LedsControl.csv,5,WheelBTemp,7.945623
Robotics (Pepper),Linear / Ridge,LedsControl.csv,6,WheelFRStiff,7.503276
Robotics (Pepper),Linear / Ridge,LedsControl.csv,7,HeadPicthTemp,5.628715
Robotics (Pepper),Linear / Ridge,LedsControl.csv,8,LElbowYawTemp,5.136192
Robotics (Pepper),Linear / Ridge,LedsControl.csv,9,RElbowYawTemp,5.035736
Robotics (Pepper),Linear / Ridge,LedsControl.csv,10,KneePicthTemp,4.424958
Robotics (Pepper),Linear / Ridge,LedsControl.csv,11,HipPicthTemp,4.030457
Robotics (Pepper),Linear / Ridge,LedsControl.csv,12,HeadYawTemp,3.327465
Robotics (Pepper),Linear / Ridge,LedsControl.csv,13,LShoulderRollTemp,3.067143
Robotics (Pepper),Linear / Ridge,LedsControl.csv,14,LShoulderPitchTemp,3.009617
Robotics (Pepper),Linear / Ridge,LedsControl.csv,15,WheelFLTemp,2.964515
Robotics (Pepper),Linear / Ridge,LedsControl.csv,16,HipRollTemp,2.959113
Robotics (Pepper),Linear / Ridge,LedsControl.csv,17,RShoulderPitchTemp,2.576192
Robotics (Pepper),Linear / Ridge,LedsControl.csv,18,RElbowRollTemp,2.510429
Robotics (Pepper),Linear / Ridge,LedsControl.csv,19,RShoulderRollTemp,2.276062
Robotics (Pepper),Linear / Ridge,LedsControl.csv,20,LaserF01X,2.224657
Robotics (Pepper),Linear / Ridge,LedsControl.csv,21,LHandTemp,1.791761
Robotics (Pepper),Linear / Ridge,LedsControl.csv,22,RWristYawTemp,1.761115
Robotics (Pepper),Linear / Ridge,LedsControl.csv,23,RhandTemp,1.684469
Robotics (Pepper),Linear / Ridge,LedsControl.csv,24,LaserShovel01X,1.664178
Robotics (Pepper),Linear / Ridge,LedsControl.csv,25,LaserShovel02X,1.656239
Robotics (Pepper),Linear / Ridge,LedsControl.csv,26,LaserShovel03X,1.625275
Robotics (Pepper),Linear / Ridge,LedsControl.csv,27,LWristYawTemp,1.511977
Robotics (Pepper),Linear / Ridge,LedsControl.csv,28,LaserR11X,1.497966
Robotics (Pepper),Linear / Ridge,LedsControl.csv,29,LaserR15X,1.315582
Robotics (Pepper),Linear / Ridge,LedsControl.csv,30,LaserR07X,1.253461
Robotics (Pepper),Linear / Ridge,LedsControl.csv,31,LaserR05X,1.016220
Robotics (Pepper),Linear / Ridge,LedsControl.csv,32,LaserR09X,0.995428
Robotics (Pepper),Linear / Ridge,LedsControl.csv,33,LaserR12X,0.906719
Robotics (Pepper),Linear / Ridge,LedsControl.csv,34,LaserR08X,0.728160
Robotics (Pepper),Linear / Ridge,LedsControl.csv,35,LaserR06X,0.675458
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,1,WheelFRStiff,193.636117
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,2,KneePicthTemp,165.536804
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,3,WheelFRTemp,164.679903
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,4,WheelBTemp,158.784593
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,5,HipPicthTemp,125.233536
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,6,RElbowYawTemp,121.313322
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,7,HeadPicthTemp,109.702040
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,8,LElbowYawTemp,99.118728
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,9,HipRollTemp,90.721089
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,10,RShoulderRollTemp,88.541539
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,11,HeadYawTemp,82.483507
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,12,RShoulderPitchTemp,78.091633
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,13,LShoulderRollTemp,77.448507
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,14,RElbowRollTemp,77.441790
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,15,LShoulderPitchTemp,71.618109
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,16,LaserShovel01X,70.441059
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,17,LaserShovel02X,70.062235
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,18,LaserShovel03X,68.571870
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,19,WheelFLTemp,67.062911
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,20,RhandTemp,56.859014
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,21,RWristYawTemp,52.803243
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,22,LHandTemp,51.199712
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,23,LaserF01X,50.358764
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,24,LaserR15X,49.812708
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,25,LWristYawTemp,46.820645
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,26,LaserR11X,41.008807
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,27,LaserR08X,36.509590
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,28,LaserR09X,36.256672
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,29,LaserR12X,32.433470
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,30,LaserR06X,24.579215
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,31,LaserR05X,19.677406
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,32,LaserR07X,14.035708
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,33,TabletTouchY,0.666850
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,34,WheelBStiff,0.447158
Robotics (Pepper),Polynomial degree 3,WheelsControl.csv,35,TabletTouchX,0.351914
Robotics (Pepper),Polynomial degree 3,JointControl.csv,1,KneePicthTemp,167.958030
Robotics (Pepper),Polynomial degree 3,JointControl.csv,2,WheelFRTemp,153.718924
Robotics (Pepper),Polynomial degree 3,JointControl.csv,3,WheelBTemp,130.296871
Robotics (Pepper),Polynomial degree 3,JointControl.csv,4,RElbowYawTemp,128.069455
Robotics (Pepper),Polynomial degree 3,JointControl.csv,5,HipPicthTemp,119.269871
Robotics (Pepper),Polynomial degree 3,JointControl.csv,6,LaserR15X,116.518219
Robotics (Pepper),Polynomial degree 3,JointControl.csv,7,LElbowYawTemp,116.098505
Robotics (Pepper),Polynomial degree 3,JointControl.csv,8,HeadYawTemp,112.208886
Robotics (Pepper),Polynomial degree 3,JointControl.csv,9,HipRollTemp,110.508072
Robotics (Pepper),Polynomial degree 3,JointControl.csv,10,WheelFLTemp,106.927067
