Dataset,Model Variant,Fault Name,Rank,Variable,Score
Healthcare (ECG),Linear / Ridge,Attack_1,1,AVL,2.840990
Healthcare (ECG),Linear / Ridge,Attack_1,2,AVF,2.071298
Healthcare (ECG),Linear / Ridge,Attack_1,3,III,1.978138
Healthcare (ECG),Linear / Ridge,Attack_1,4,V6,1.840745
Healthcare (ECG),Linear / Ridge,Attack_1,5,I,1.788097
Healthcare (ECG),Linear / Ridge,Attack_1,6,V4,1.564563
Healthcare (ECG),Linear / Ridge,Attack_1,7,II,1.545100
Healthcare (ECG),Linear / Ridge,Attack_1,8,V1,1.276434
Healthcare (ECG),Linear / Ridge,Attack_1,9,V3,1.067764
Healthcare (ECG),Linear / Ridge,Attack_2,1,V4,3.163000
Healthcare (ECG),Linear / Ridge,Attack_2,2,II,2.133084
Healthcare (ECG),Linear / Ridge,Attack_2,3,AVF,1.956089
Healthcare (ECG),Linear / Ridge,Attack_2,4,I,1.912182
Healthcare (ECG),Linear / Ridge,Attack_2,5,V3,1.865327
Healthcare (ECG),Linear / Ridge,Attack_2,6,AVL,1.606446
Healthcare (ECG),Linear / Ridge,Attack_2,7,V1,1.415039
Healthcare (ECG),Linear / Ridge,Attack_2,8,III,1.311353
Healthcare (ECG),Linear / Ridge,Attack_2,9,V6,0.977821
Healthcare (ECG),Linear / Ridge,Attack_3,1,V4,2.237897
Healthcare (ECG),Linear / Ridge,Attack_3,2,V3,1.847042
Healthcare (ECG),Linear / Ridge,Attack_3,3,III,1.672766
Healthcare (ECG),Linear / Ridge,Attack_3,4,AVF,1.561920
Healthcare (ECG),Linear / Ridge,Attack_3,5,II,1.438445
Healthcare (ECG),Linear / Ridge,Attack_3,6,I,0.734584
Healthcare (ECG),Linear / Ridge,Attack_3,7,V6,0.712885
Healthcare (ECG),Linear / Ridge,Attack_3,8,AVL,0.574078
Healthcare (ECG),Linear / Ridge,Attack_3,9,V1,0.502524
Healthcare (ECG),Linear / Ridge,Attack_4,1,V3,2.257700
Healthcare (ECG),Linear / Ridge,Attack_4,2,AVF,1.940815
Healthcare (ECG),Linear / Ridge,Attack_4,3,III,1.880825
Healthcare (ECG),Linear / Ridge,Attack_4,4,II,1.784498
Healthcare (ECG),Linear / Ridge,Attack_4,5,V4,1.465294
Healthcare (ECG),Linear / Ridge,Attack_4,6,V6,1.033865
Healthcare (ECG),Linear / Ridge,Attack_4,7,AVL,0.841095
Healthcare (ECG),Linear / Ridge,Attack_4,8,V1,0.785825
Healthcare (ECG),Linear / Ridge,Attack_4,9,I,0.536611
