Dataset,Model Variant,Fault Name,Top Variable 1,Top Variable 2,Top Variable 3
Healthcare (ECG),Linear / Ridge,Attack_1,AVL,AVF,III
Healthcare (ECG),Linear / Ridge,Attack_2,V4,II,AVF
Healthcare (ECG),Linear / Ridge,Attack_3,V4,V3,III
Healthcare (ECG),Linear / Ridge,Attack_4,V3,AVF,III
Healthcare (ECG),Linear / Ridge,Attack_5,AVL,I,V6
Healthcare (ECG),Linear / Ridge,Attack_6,V4,AVF,III
Healthcare (ECG),Linear / Ridge,Attack_7,I,II,V4
Healthcare (ECG),Linear / Ridge,Attack_8,V4,V3,V1
Healthcare (ECG),Linear / Ridge,Attack_9,V3,II,AVF
Healthcare (ECG),Linear / Ridge,Attack_10,AVF,V4,V3
Healthcare (ECG),Linear / Ridge,Attack_11,III,AVF,V4
Healthcare (ECG),Linear / Ridge,Attack_12,I,AVL,V6
Healthcare (ECG),Linear / Ridge,Attack_13,III,AVF,II
Healthcare (ECG),Linear / Ridge,Attack_14,II,III,AVF
Healthcare (ECG),Linear / Ridge,Attack_15,V6,V3,AVF
Healthcare (ECG),Linear / Ridge,Attack_16,V4,V3,AVF
Healthcare (ECG),Linear / Ridge,Attack_17,AVL,AVF,V6
Healthcare (ECG),Linear / Ridge,Attack_18,V6,V4,AVF
Healthcare (ECG),Linear / Ridge,Attack_19,I,III,V6
Healthcare (ECG),Linear / Ridge,Attack_20,V3,V4,V6
Healthcare (ECG),Polynomial degree 3,Attack_1,AVL,V6,I
Healthcare (ECG),Polynomial degree 3,Attack_2,V4,II,AVF
Healthcare (ECG),Polynomial degree 3,Attack_3,V3,III,AVF
Healthcare (ECG),Polynomial degree 3,Attack_4,II,AVF,III
Healthcare (ECG),Polynomial degree 3,Attack_5,III,V1,AVL
Healthcare (ECG),Polynomial degree 3,Attack_6,AVF,III,II
Healthcare (ECG),Polynomial degree 3,Attack_7,I,V3,II
Healthcare (ECG),Polynomial degree 3,Attack_8,I,AVL,V4
Healthcare (ECG),Polynomial degree 3,Attack_9,V3,V6,V4
Healthcare (ECG),Polynomial degree 3,Attack_10,V1,V3,AVL
Healthcare (ECG),Polynomial degree 3,Attack_11,III,AVF,II
Healthcare (ECG),Polynomial degree 3,Attack_12,I,AVL,V6
Healthcare (ECG),Polynomial degree 3,Attack_13,AVF,V3,III
Healthcare (ECG),Polynomial degree 3,Attack_14,I,II,AVF
Healthcare (ECG),Polynomial degree 3,Attack_15,V6,I,V3
Healthcare (ECG),Polynomial degree 3,Attack_16,V3,V4,AVF
Healthcare (ECG),Polynomial degree 3,Attack_17,III,AVL,I
Healthcare (ECG),Polynomial degree 3,Attack_18,V4,V3,V6
Healthcare (ECG),Polynomial degree 3,Attack_19,I,III,V1
Healthcare (ECG),Polynomial degree 3,Attack_20,V3,V4,V6
Healthcare (ECG),RBF + Ridge,Attack_1,III,II,AVF
Healthcare (ECG),RBF + Ridge,Attack_2,V4,AVL,I
Healthcare (ECG),RBF + Ridge,Attack_3,V3,V4,V6
Healthcare (ECG),RBF + Ridge,Attack_4,V6,V3,V4
Healthcare (ECG),RBF + Ridge,Attack_5,AVL,I,V4
Healthcare (ECG),RBF + Ridge,Attack_6,V6,V4,V3
Healthcare (ECG),RBF + Ridge,Attack_7,I,II,V3
Healthcare (ECG),RBF + Ridge,Attack_8,V4,I,V1
Healthcare (ECG),RBF + Ridge,Attack_9,III,V3,AVF
Healthcare (ECG),RBF + Ridge,Attack_10,V3,AVF,AVL
Healthcare (ECG),RBF + Ridge,Attack_11,V3,I,V4
Healthcare (ECG),RBF + Ridge,Attack_12,I,AVL,V6
Healthcare (ECG),RBF + Ridge,Attack_13,AVL,V3,III
Healthcare (ECG),RBF + Ridge,Attack_14,AVF,I,AVL
Healthcare (ECG),RBF + Ridge,Attack_15,V6,I,AVL
Healthcare (ECG),RBF + Ridge,Attack_16,V3,V4,AVL
Healthcare (ECG),RBF + Ridge,Attack_17,III,AVF,II
Healthcare (ECG),RBF + Ridge,Attack_18,V6,V4,I
Healthcare (ECG),RBF + Ridge,Attack_19,I,V6,AVL
Healthcare (ECG),RBF + Ridge,Attack_20,V3,V4,V6
