Dataset,Model Variant,Fault Name,Top Variable 1,Top Variable 2,Top Variable 3
Healthcare (ECG),Linear / Ridge,Attack_1,II,V6,V3
Healthcare (ECG),Linear / Ridge,Attack_2,V4,V3,V5
Healthcare (ECG),Linear / Ridge,Attack_3,V6,V3,V4
Healthcare (ECG),Linear / Ridge,Attack_4,V6,V3,V4
Healthcare (ECG),Linear / Ridge,Attack_5,V5,II,V6
Healthcare (ECG),Linear / Ridge,Attack_6,V6,II,V3
Healthcare (ECG),Linear / Ridge,Attack_7,II,V3,V5
Healthcare (ECG),Linear / Ridge,Attack_8,V4,V3,V5
Healthcare (ECG),Linear / Ridge,Attack_9,II,V6,V3
Healthcare (ECG),Linear / Ridge,Attack_10,V3,V5,V4
Healthcare (ECG),Linear / Ridge,Attack_11,V6,V3,II
Healthcare (ECG),Linear / Ridge,Attack_12,V6,V5,V4
Healthcare (ECG),Linear / Ridge,Attack_13,V3,II,V1
Healthcare (ECG),Linear / Ridge,Attack_14,II,V6,V5
Healthcare (ECG),Linear / Ridge,Attack_15,V6,V5,V4
Healthcare (ECG),Linear / Ridge,Attack_16,V3,V5,V4
Healthcare (ECG),Linear / Ridge,Attack_17,V5,V6,II
Healthcare (ECG),Linear / Ridge,Attack_18,V5,V6,V3
Healthcare (ECG),Linear / Ridge,Attack_19,V6,V5,II
Healthcare (ECG),Linear / Ridge,Attack_20,V4,V5,V3
Healthcare (ECG),Polynomial degree 3,Attack_1,II,V5,V1
Healthcare (ECG),Polynomial degree 3,Attack_2,V3,V4,V6
Healthcare (ECG),Polynomial degree 3,Attack_3,V6,V4,V3
Healthcare (ECG),Polynomial degree 3,Attack_4,V6,II,V3
Healthcare (ECG),Polynomial degree 3,Attack_5,V5,II,V1
Healthcare (ECG),Polynomial degree 3,Attack_6,V6,II,V4
Healthcare (ECG),Polynomial degree 3,Attack_7,V3,V5,II
Healthcare (ECG),Polynomial degree 3,Attack_8,V4,V6,V5
Healthcare (ECG),Polynomial degree 3,Attack_9,V3,II,V6
Healthcare (ECG),Polynomial degree 3,Attack_10,V3,V1,V4
Healthcare (ECG),Polynomial degree 3,Attack_11,V6,II,V3
Healthcare (ECG),Polynomial degree 3,Attack_12,V5,V6,V4
Healthcare (ECG),Polynomial degree 3,Attack_13,V4,V3,II
Healthcare (ECG),Polynomial degree 3,Attack_14,V4,V6,II
Healthcare (ECG),Polynomial degree 3,Attack_15,V6,V5,II
Healthcare (ECG),Polynomial degree 3,Attack_16,V3,V4,II
Healthcare (ECG),Polynomial degree 3,Attack_17,V5,II,V6
Healthcare (ECG),Polynomial degree 3,Attack_18,V3,V5,V4
Healthcare (ECG),Polynomial degree 3,Attack_19,V1,II,V5
Healthcare (ECG),Polynomial degree 3,Attack_20,V3,V4,V5
Healthcare (ECG),RBF + Ridge,Attack_1,II,V6,V5
Healthcare (ECG),RBF + Ridge,Attack_2,V4,II,V5
Healthcare (ECG),RBF + Ridge,Attack_3,V5,V4,V6
Healthcare (ECG),RBF + Ridge,Attack_4,V5,V6,V4
Healthcare (ECG),RBF + Ridge,Attack_5,V5,V4,V3
Healthcare (ECG),RBF + Ridge,Attack_6,V6,V5,V4
Healthcare (ECG),RBF + Ridge,Attack_7,II,V3,V5
Healthcare (ECG),RBF + Ridge,Attack_8,V4,V1,V5
Healthcare (ECG),RBF + Ridge,Attack_9,V3,II,V4
Healthcare (ECG),RBF + Ridge,Attack_10,V3,II,V5
Healthcare (ECG),RBF + Ridge,Attack_11,V3,V6,II
Healthcare (ECG),RBF + Ridge,Attack_12,V5,V6,V3
Healthcare (ECG),RBF + Ridge,Attack_13,V3,V4,II
Healthcare (ECG),RBF + Ridge,Attack_14,II,V4,V5
Healthcare (ECG),RBF + Ridge,Attack_15,V6,V5,V3
Healthcare (ECG),RBF + Ridge,Attack_16,V3,V4,V5
Healthcare (ECG),RBF + Ridge,Attack_17,V5,V6,II
Healthcare (ECG),RBF + Ridge,Attack_18,V5,V6,V4
Healthcare (ECG),RBF + Ridge,Attack_19,V6,V5,V3
Healthcare (ECG),RBF + Ridge,Attack_20,V5,V3,V4
