Dataset,Model Variant,Fault Name,Rank,Variable,Score
Industrial (TEP),Linear / Ridge,Fault_1,1,XMV_3,103.433806
Industrial (TEP),Linear / Ridge,Fault_1,2,XMEAS_4,59.958332
Industrial (TEP),Linear / Ridge,Fault_1,3,XMV_5,22.933783
Industrial (TEP),Linear / Ridge,Fault_1,4,XMEAS_18,17.730532
Industrial (TEP),Linear / Ridge,Fault_1,5,XMEAS_20,17.128084
Industrial (TEP),Linear / Ridge,Fault_1,6,XMEAS_1,13.699310
Industrial (TEP),Linear / Ridge,Fault_1,7,XMEAS_16,12.482576
Industrial (TEP),Linear / Ridge,Fault_1,8,XMEAS_21,10.727560
Industrial (TEP),Linear / Ridge,Fault_1,9,XMV_6,9.948206
Industrial (TEP),Linear / Ridge,Fault_1,10,XMV_9,9.338873
Industrial (TEP),Linear / Ridge,Fault_1,11,XMEAS_31,7.950839
Industrial (TEP),Linear / Ridge,Fault_1,12,XMEAS_38,7.740996
Industrial (TEP),Linear / Ridge,Fault_1,13,XMEAS_11,7.521249
Industrial (TEP),Linear / Ridge,Fault_1,14,XMEAS_33,6.933700
Industrial (TEP),Linear / Ridge,Fault_1,15,XMEAS_29,6.807127
Industrial (TEP),Linear / Ridge,Fault_1,16,XMEAS_13,6.397373
Industrial (TEP),Linear / Ridge,Fault_1,17,XMEAS_25,6.310712
Industrial (TEP),Linear / Ridge,Fault_1,18,XMEAS_27,5.588736
Industrial (TEP),Linear / Ridge,Fault_1,19,XMEAS_34,5.221528
Industrial (TEP),Linear / Ridge,Fault_1,20,XMEAS_7,5.108985
Industrial (TEP),Linear / Ridge,Fault_1,21,XMEAS_3,4.188055
Industrial (TEP),Linear / Ridge,Fault_1,22,XMV_10,2.931323
Industrial (TEP),Linear / Ridge,Fault_1,23,XMV_1,2.165752
Industrial (TEP),Linear / Ridge,Fault_1,24,XMEAS_2,1.326936
Industrial (TEP),Linear / Ridge,Fault_1,25,XMEAS_17,1.155346
Industrial (TEP),Linear / Ridge,Fault_2,1,XMEAS_4,26.970301
Industrial (TEP),Linear / Ridge,Fault_2,2,XMEAS_16,22.359064
Industrial (TEP),Linear / Ridge,Fault_2,3,XMV_6,18.844864
Industrial (TEP),Linear / Ridge,Fault_2,4,XMV_5,13.536652
Industrial (TEP),Linear / Ridge,Fault_2,5,XMEAS_34,12.708210
Industrial (TEP),Linear / Ridge,Fault_2,6,XMEAS_20,12.641616
Industrial (TEP),Linear / Ridge,Fault_2,7,XMEAS_3,11.596540
Industrial (TEP),Linear / Ridge,Fault_2,8,XMV_1,7.825583
Industrial (TEP),Linear / Ridge,Fault_2,9,XMV_3,7.483806
Industrial (TEP),Linear / Ridge,Fault_2,10,XMEAS_31,6.412940
Industrial (TEP),Linear / Ridge,Fault_2,11,XMEAS_33,6.180196
Industrial (TEP),Linear / Ridge,Fault_2,12,XMEAS_7,6.177408
Industrial (TEP),Linear / Ridge,Fault_2,13,XMEAS_18,6.175680
Industrial (TEP),Linear / Ridge,Fault_2,14,XMEAS_13,5.356948
Industrial (TEP),Linear / Ridge,Fault_2,15,XMEAS_25,4.901206
Industrial (TEP),Linear / Ridge,Fault_2,16,XMEAS_2,3.966944
Industrial (TEP),Linear / Ridge,Fault_2,17,XMEAS_38,3.654712
Industrial (TEP),Linear / Ridge,Fault_2,18,XMEAS_11,3.304499
Industrial (TEP),Linear / Ridge,Fault_2,19,XMEAS_21,2.880994
Industrial (TEP),Linear / Ridge,Fault_2,20,XMEAS_29,2.383936
Industrial (TEP),Linear / Ridge,Fault_2,21,XMEAS_27,2.270304
Industrial (TEP),Linear / Ridge,Fault_2,22,XMEAS_17,2.108145
Industrial (TEP),Linear / Ridge,Fault_2,23,XMV_10,2.027590
Industrial (TEP),Linear / Ridge,Fault_2,24,XMEAS_1,1.534268
Industrial (TEP),Linear / Ridge,Fault_2,25,XMV_9,0.985937
Industrial (TEP),Linear / Ridge,Fault_3,1,XMV_5,5.945840
Industrial (TEP),Linear / Ridge,Fault_3,2,XMEAS_21,4.519736
Industrial (TEP),Linear / Ridge,Fault_3,3,XMEAS_18,3.416942
Industrial (TEP),Linear / Ridge,Fault_3,4,XMV_6,3.063176
Industrial (TEP),Linear / Ridge,Fault_3,5,XMEAS_20,3.025099
Industrial (TEP),Linear / Ridge,Fault_3,6,XMEAS_33,2.858542
Industrial (TEP),Linear / Ridge,Fault_3,7,XMV_1,2.602987
Industrial (TEP),Linear / Ridge,Fault_3,8,XMEAS_27,2.182033
Industrial (TEP),Linear / Ridge,Fault_3,9,XMEAS_4,2.050884
Industrial (TEP),Linear / Ridge,Fault_3,10,XMEAS_13,2.048313
Industrial (TEP),Linear / Ridge,Fault_3,11,XMEAS_7,2.010333
Industrial (TEP),Linear / Ridge,Fault_3,12,XMV_9,1.973967
Industrial (TEP),Linear / Ridge,Fault_3,13,XMEAS_17,1.832304
Industrial (TEP),Linear / Ridge,Fault_3,14,XMV_3,1.725288
Industrial (TEP),Linear / Ridge,Fault_3,15,XMEAS_1,1.522459
Industrial (TEP),Linear / Ridge,Fault_3,16,XMEAS_11,1.445968
Industrial (TEP),Linear / Ridge,Fault_3,17,XMV_10,1.419466
Industrial (TEP),Linear / Ridge,Fault_3,18,XMEAS_16,1.352781
Industrial (TEP),Linear / Ridge,Fault_3,19,XMEAS_31,1.267591
Industrial (TEP),Linear / Ridge,Fault_3,20,XMEAS_38,1.208366
Industrial (TEP),Linear / Ridge,Fault_3,21,XMEAS_2,1.064652
Industrial (TEP),Linear / Ridge,Fault_3,22,XMEAS_34,0.873165
Industrial (TEP),Linear / Ridge,Fault_3,23,XMEAS_25,0.840390
Industrial (TEP),Linear / Ridge,Fault_3,24,XMEAS_3,0.762362
Industrial (TEP),Linear / Ridge,Fault_3,25,XMEAS_29,0.735087
Industrial (TEP),Linear / Ridge,Fault_4,1,XMV_10,21.709637
Industrial (TEP),Linear / Ridge,Fault_4,2,XMV_5,5.970989
Industrial (TEP),Linear / Ridge,Fault_4,3,XMEAS_18,3.372922
Industrial (TEP),Linear / Ridge,Fault_4,4,XMV_6,3.093391
Industrial (TEP),Linear / Ridge,Fault_4,5,XMEAS_20,3.064039
Industrial (TEP),Linear / Ridge,Fault_4,6,XMEAS_33,2.856470
Industrial (TEP),Linear / Ridge,Fault_4,7,XMV_1,2.827350
Industrial (TEP),Linear / Ridge,Fault_4,8,XMEAS_27,2.209399
Industrial (TEP),Linear / Ridge,Fault_4,9,XMEAS_21,2.192201
Industrial (TEP),Linear / Ridge,Fault_4,10,XMEAS_7,2.069470
Industrial (TEP),Linear / Ridge,Fault_4,11,XMEAS_4,2.057279
Industrial (TEP),Linear / Ridge,Fault_4,12,XMEAS_13,2.051178
Industrial (TEP),Linear / Ridge,Fault_4,13,XMV_9,2.038945
Industrial (TEP),Linear / Ridge,Fault_4,14,XMEAS_17,1.839102
Industrial (TEP),Linear / Ridge,Fault_4,15,XMV_3,1.723095
Industrial (TEP),Linear / Ridge,Fault_4,16,XMEAS_1,1.515184
Industrial (TEP),Linear / Ridge,Fault_4,17,XMEAS_11,1.476987
Industrial (TEP),Linear / Ridge,Fault_4,18,XMEAS_16,1.326940
Industrial (TEP),Linear / Ridge,Fault_4,19,XMEAS_31,1.239557
Industrial (TEP),Linear / Ridge,Fault_4,20,XMEAS_38,1.217811
Industrial (TEP),Linear / Ridge,Fault_4,21,XMEAS_2,1.069911
Industrial (TEP),Linear / Ridge,Fault_4,22,XMEAS_34,0.831878
Industrial (TEP),Linear / Ridge,Fault_4,23,XMEAS_25,0.822163
Industrial (TEP),Linear / Ridge,Fault_4,24,XMEAS_3,0.812113
