Dataset,Model Variant,Fault Name,Top Variable 1,Top Variable 2,Top Variable 3
Industrial (TEP),Linear / Ridge,Fault_1,XMV_3,XMEAS_4,XMV_5
Industrial (TEP),Linear / Ridge,Fault_2,XMEAS_4,XMEAS_16,XMV_6
Industrial (TEP),Linear / Ridge,Fault_3,XMV_5,XMEAS_21,XMEAS_18
Industrial (TEP),Linear / Ridge,Fault_4,XMV_10,XMV_5,XMEAS_18
Industrial (TEP),Linear / Ridge,Fault_5,XMV_5,XMV_9,XMEAS_21
Industrial (TEP),Linear / Ridge,Fault_6,XMV_10,XMEAS_20,XMV_3
Industrial (TEP),Linear / Ridge,Fault_7,XMV_5,XMV_9,XMEAS_21
Industrial (TEP),Linear / Ridge,Fault_8,XMV_5,XMEAS_34,XMEAS_31
Industrial (TEP),Linear / Ridge,Fault_9,XMV_5,XMEAS_18,XMV_6
Industrial (TEP),Linear / Ridge,Fault_10,XMEAS_18,XMV_5,XMEAS_20
Industrial (TEP),Linear / Ridge,Fault_11,XMV_10,XMV_5,XMV_6
Industrial (TEP),Linear / Ridge,Fault_12,XMV_5,XMV_9,XMEAS_21
Industrial (TEP),Linear / Ridge,Fault_13,XMV_5,XMEAS_18,XMV_9
Industrial (TEP),Linear / Ridge,Fault_14,XMEAS_21,XMV_10,XMV_5
Industrial (TEP),Linear / Ridge,Fault_15,XMV_5,XMEAS_18,XMV_6
Industrial (TEP),Linear / Ridge,Fault_16,XMV_9,XMV_5,XMEAS_18
Industrial (TEP),Linear / Ridge,Fault_17,XMEAS_21,XMV_10,XMV_5
Industrial (TEP),Linear / Ridge,Fault_18,XMEAS_21,XMV_5,XMV_1
Industrial (TEP),Linear / Ridge,Fault_19,XMV_5,XMEAS_20,XMEAS_18
Industrial (TEP),Linear / Ridge,Fault_20,XMV_5,XMEAS_13,XMEAS_20
Industrial (TEP),Polynomial degree 3,Fault_1,XMV_3,XMEAS_4,XMEAS_16
Industrial (TEP),Polynomial degree 3,Fault_2,XMEAS_4,XMEAS_16,XMV_3
Industrial (TEP),Polynomial degree 3,Fault_3,XMV_9,XMEAS_21,XMEAS_13
Industrial (TEP),Polynomial degree 3,Fault_4,XMV_10,XMV_9,XMEAS_13
Industrial (TEP),Polynomial degree 3,Fault_5,XMV_5,XMEAS_21,XMV_9
Industrial (TEP),Polynomial degree 3,Fault_6,XMV_10,XMV_3,XMEAS_20
Industrial (TEP),Polynomial degree 3,Fault_7,XMV_5,XMEAS_33,XMEAS_21
Industrial (TEP),Polynomial degree 3,Fault_8,XMEAS_34,XMEAS_31,XMV_9
Industrial (TEP),Polynomial degree 3,Fault_9,XMV_9,XMEAS_13,XMEAS_21
Industrial (TEP),Polynomial degree 3,Fault_10,XMV_9,XMEAS_18,XMEAS_7
Industrial (TEP),Polynomial degree 3,Fault_11,XMV_10,XMV_9,XMEAS_13
Industrial (TEP),Polynomial degree 3,Fault_12,XMV_5,XMEAS_7,XMV_9
Industrial (TEP),Polynomial degree 3,Fault_13,XMEAS_38,XMV_9,XMV_5
Industrial (TEP),Polynomial degree 3,Fault_14,XMEAS_21,XMV_10,XMV_9
Industrial (TEP),Polynomial degree 3,Fault_15,XMV_9,XMEAS_21,XMEAS_13
Industrial (TEP),Polynomial degree 3,Fault_16,XMV_9,XMEAS_18,XMEAS_33
Industrial (TEP),Polynomial degree 3,Fault_17,XMEAS_21,XMV_10,XMV_9
Industrial (TEP),Polynomial degree 3,Fault_18,XMEAS_21,XMEAS_7,XMV_5
Industrial (TEP),Polynomial degree 3,Fault_19,XMV_9,XMEAS_21,XMEAS_17
Industrial (TEP),Polynomial degree 3,Fault_20,XMEAS_13,XMV_5,XMEAS_20
Industrial (TEP),RBF + Ridge,Fault_1,XMEAS_1,XMV_3,XMEAS_4
Industrial (TEP),RBF + Ridge,Fault_2,XMV_6,XMEAS_34,XMV_9
Industrial (TEP),RBF + Ridge,Fault_3,XMEAS_21,XMEAS_38,XMV_9
Industrial (TEP),RBF + Ridge,Fault_4,XMV_10,XMEAS_38,XMV_9
Industrial (TEP),RBF + Ridge,Fault_5,XMEAS_38,XMV_9,XMEAS_18
Industrial (TEP),RBF + Ridge,Fault_6,XMV_10,XMEAS_16,XMV_5
Industrial (TEP),RBF + Ridge,Fault_7,XMEAS_38,XMV_9,XMEAS_18
Industrial (TEP),RBF + Ridge,Fault_8,XMEAS_1,XMEAS_38,XMV_6
Industrial (TEP),RBF + Ridge,Fault_9,XMEAS_38,XMV_9,XMEAS_18
Industrial (TEP),RBF + Ridge,Fault_10,XMEAS_18,XMEAS_38,XMV_9
Industrial (TEP),RBF + Ridge,Fault_11,XMV_10,XMEAS_21,XMEAS_38
Industrial (TEP),RBF + Ridge,Fault_12,XMEAS_38,XMEAS_20,XMV_5
Industrial (TEP),RBF + Ridge,Fault_13,XMV_9,XMEAS_18,XMEAS_13
Industrial (TEP),RBF + Ridge,Fault_14,XMV_10,XMEAS_21,XMEAS_38
Industrial (TEP),RBF + Ridge,Fault_15,XMEAS_38,XMV_9,XMEAS_18
Industrial (TEP),RBF + Ridge,Fault_16,XMEAS_38,XMEAS_18,XMV_9
Industrial (TEP),RBF + Ridge,Fault_17,XMEAS_21,XMV_10,XMV_1
Industrial (TEP),RBF + Ridge,Fault_18,XMV_1,XMEAS_21,XMEAS_4
Industrial (TEP),RBF + Ridge,Fault_19,XMEAS_38,XMV_5,XMV_9
Industrial (TEP),RBF + Ridge,Fault_20,XMV_5,XMEAS_20,XMEAS_13
