Dataset,Model Variant,Fault Name,Rank,Variable,Score
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,1,LElbowYawTemp,2.968448
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,2,WheelFLTemp,2.888818
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,3,KneePicthTemp,2.689031
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,4,HeadPicthTemp,2.556784
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,5,LaserShovel03X,2.497886
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,6,LShoulderPitchTemp,1.869814
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,7,LaserF01X,1.527421
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,8,LShoulderRollTemp,1.389619
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,9,RShoulderPitchTemp,1.250071
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,10,RElbowRollTemp,1.199430
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,11,WheelFRStiff,1.173657
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,12,RShoulderRollTemp,1.163942
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,13,LaserR07X,1.092158
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,14,LaserR09X,1.089621
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,15,HipPicthTemp,1.049189
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,16,HipRollTemp,1.010048
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,17,HeadYawTemp,0.850758
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,18,RElbowYawTemp,0.803534
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,19,LaserR12X,0.660495
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,20,WheelBStiff,0.650303
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,21,LaserR08X,0.591449
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,22,RWristYawTemp,0.588984
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,23,LaserR06X,0.553657
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,24,LWristYawTemp,0.508090
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,25,LaserR15X,0.487458
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,26,LHandTemp,0.411876
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,27,LaserR11X,0.297382
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,28,LaserR05X,0.285044
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,29,LaserShovel01X,0.061814
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,30,LaserShovel02X,0.022652
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,31,TabletTouchY,0.006254
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,32,TabletTouchX,0.004514
Robotics (Pepper),Linear / Ridge,JointControl.csv,1,KneePicthTemp,33.954917
Robotics (Pepper),Linear / Ridge,JointControl.csv,2,HeadPicthTemp,3.077890
Robotics (Pepper),Linear / Ridge,JointControl.csv,3,LShoulderPitchTemp,2.637535
Robotics (Pepper),Linear / Ridge,JointControl.csv,4,LaserR15X,2.581760
Robotics (Pepper),Linear / Ridge,JointControl.csv,5,LaserR07X,2.484599
Robotics (Pepper),Linear / Ridge,JointControl.csv,6,LElbowYawTemp,2.219636
Robotics (Pepper),Linear / Ridge,JointControl.csv,7,LaserR12X,1.974442
Robotics (Pepper),Linear / Ridge,JointControl.csv,8,LaserR09X,1.757097
Robotics (Pepper),Linear / Ridge,JointControl.csv,9,RShoulderRollTemp,1.713275
Robotics (Pepper),Linear / Ridge,JointControl.csv,10,WheelFRStiff,1.619886
Robotics (Pepper),Linear / Ridge,JointControl.csv,11,RElbowRollTemp,1.410781
Robotics (Pepper),Linear / Ridge,JointControl.csv,12,LHandTemp,1.391936
Robotics (Pepper),Linear / Ridge,JointControl.csv,13,HipPicthTemp,1.389184
Robotics (Pepper),Linear / Ridge,JointControl.csv,14,LShoulderRollTemp,1.244069
Robotics (Pepper),Linear / Ridge,JointControl.csv,15,LaserShovel03X,1.172611
Robotics (Pepper),Linear / Ridge,JointControl.csv,16,LaserF01X,1.090027
Robotics (Pepper),Linear / Ridge,JointControl.csv,17,WheelBStiff,1.070513
Robotics (Pepper),Linear / Ridge,JointControl.csv,18,RShoulderPitchTemp,1.066266
Robotics (Pepper),Linear / Ridge,JointControl.csv,19,HipRollTemp,0.874673
Robotics (Pepper),Linear / Ridge,JointControl.csv,20,WheelFLTemp,0.845531
Robotics (Pepper),Linear / Ridge,JointControl.csv,21,LaserR05X,0.832667
Robotics (Pepper),Linear / Ridge,JointControl.csv,22,LWristYawTemp,0.636133
Robotics (Pepper),Linear / Ridge,JointControl.csv,23,RWristYawTemp,0.565207
Robotics (Pepper),Linear / Ridge,JointControl.csv,24,LaserR06X,0.436141
Robotics (Pepper),Linear / Ridge,JointControl.csv,25,HeadYawTemp,0.422580
Robotics (Pepper),Linear / Ridge,JointControl.csv,26,RElbowYawTemp,0.407625
Robotics (Pepper),Linear / Ridge,JointControl.csv,27,LaserR11X,0.255964
Robotics (Pepper),Linear / Ridge,JointControl.csv,28,LaserR08X,0.176207
Robotics (Pepper),Linear / Ridge,JointControl.csv,29,LaserShovel01X,0.033807
Robotics (Pepper),Linear / Ridge,JointControl.csv,30,LaserShovel02X,0.008166
Robotics (Pepper),Linear / Ridge,JointControl.csv,31,TabletTouchY,0.001361
Robotics (Pepper),Linear / Ridge,JointControl.csv,32,TabletTouchX,0.001062
Robotics (Pepper),Linear / Ridge,LedsControl.csv,1,TabletTouchX,42.718882
Robotics (Pepper),Linear / Ridge,LedsControl.csv,2,TabletTouchY,18.256847
Robotics (Pepper),Linear / Ridge,LedsControl.csv,3,HeadPicthTemp,14.041386
Robotics (Pepper),Linear / Ridge,LedsControl.csv,4,LaserF01X,3.981984
Robotics (Pepper),Linear / Ridge,LedsControl.csv,5,KneePicthTemp,3.939769
Robotics (Pepper),Linear / Ridge,LedsControl.csv,6,RShoulderRollTemp,3.625714
Robotics (Pepper),Linear / Ridge,LedsControl.csv,7,LaserShovel03X,2.491443
Robotics (Pepper),Linear / Ridge,LedsControl.csv,8,LElbowYawTemp,2.419630
Robotics (Pepper),Linear / Ridge,LedsControl.csv,9,LaserR09X,2.308652
Robotics (Pepper),Linear / Ridge,LedsControl.csv,10,LShoulderPitchTemp,2.291389
Robotics (Pepper),Linear / Ridge,LedsControl.csv,11,RShoulderPitchTemp,2.105862
Robotics (Pepper),Linear / Ridge,LedsControl.csv,12,WheelFLTemp,1.695577
Robotics (Pepper),Linear / Ridge,LedsControl.csv,13,LaserR07X,1.674282
Robotics (Pepper),Linear / Ridge,LedsControl.csv,14,LShoulderRollTemp,1.622664
Robotics (Pepper),Linear / Ridge,LedsControl.csv,15,WheelFRStiff,1.471017
Robotics (Pepper),Linear / Ridge,LedsControl.csv,16,LHandTemp,1.333520
