Dataset,Model Variant,Fault Name,Rank,Variable,Score
Healthcare (ECG),Linear / Ridge,Attack_1,1,II,1.516771
Healthcare (ECG),Linear / Ridge,Attack_1,2,V6,1.475031
Healthcare (ECG),Linear / Ridge,Attack_1,3,V5,1.469923
Healthcare (ECG),Linear / Ridge,Attack_1,4,AVF,1.426512
Healthcare (ECG),Linear / Ridge,Attack_1,5,V4,1.160306
Healthcare (ECG),Linear / Ridge,Attack_1,6,III,1.121491
Healthcare (ECG),Linear / Ridge,Attack_1,7,AVL,0.991626
Healthcare (ECG),Linear / Ridge,Attack_1,8,AVR,0.815712
Healthcare (ECG),Linear / Ridge,Attack_1,9,V2,0.658825
Healthcare (ECG),Linear / Ridge,Attack_1,10,I,0.630287
Healthcare (ECG),Linear / Ridge,Attack_1,11,V3,0.611873
Healthcare (ECG),Linear / Ridge,Attack_1,12,V1,0.185584
Healthcare (ECG),Linear / Ridge,Attack_2,1,V4,2.117530
Healthcare (ECG),Linear / Ridge,Attack_2,2,V3,2.014461
Healthcare (ECG),Linear / Ridge,Attack_2,3,V5,1.384023
Healthcare (ECG),Linear / Ridge,Attack_2,4,AVL,1.196528
Healthcare (ECG),Linear / Ridge,Attack_2,5,V2,1.195186
Healthcare (ECG),Linear / Ridge,Attack_2,6,II,1.122106
Healthcare (ECG),Linear / Ridge,Attack_2,7,AVR,1.050597
Healthcare (ECG),Linear / Ridge,Attack_2,8,I,0.981337
Healthcare (ECG),Linear / Ridge,Attack_2,9,AVF,0.965749
Healthcare (ECG),Linear / Ridge,Attack_2,10,V6,0.861745
Healthcare (ECG),Linear / Ridge,Attack_2,11,III,0.652758
Healthcare (ECG),Linear / Ridge,Attack_2,12,V1,0.644028
Healthcare (ECG),Linear / Ridge,Attack_3,1,V3,1.456315
Healthcare (ECG),Linear / Ridge,Attack_3,2,AVL,1.344063
Healthcare (ECG),Linear / Ridge,Attack_3,3,V6,1.201493
Healthcare (ECG),Linear / Ridge,Attack_3,4,V5,1.170556
Healthcare (ECG),Linear / Ridge,Attack_3,5,V2,1.140100
Healthcare (ECG),Linear / Ridge,Attack_3,6,I,1.010731
Healthcare (ECG),Linear / Ridge,Attack_3,7,AVR,1.009996
Healthcare (ECG),Linear / Ridge,Attack_3,8,AVF,0.721031
Healthcare (ECG),Linear / Ridge,Attack_3,9,V4,0.682562
Healthcare (ECG),Linear / Ridge,Attack_3,10,V1,0.631816
Healthcare (ECG),Linear / Ridge,Attack_3,11,III,0.529224
Healthcare (ECG),Linear / Ridge,Attack_3,12,II,0.412933
Healthcare (ECG),Linear / Ridge,Attack_4,1,V3,1.492032
Healthcare (ECG),Linear / Ridge,Attack_4,2,AVL,1.474659
Healthcare (ECG),Linear / Ridge,Attack_4,3,V2,1.169077
Healthcare (ECG),Linear / Ridge,Attack_4,4,AVR,1.105639
Healthcare (ECG),Linear / Ridge,Attack_4,5,V4,1.018338
Healthcare (ECG),Linear / Ridge,Attack_4,6,V5,1.010026
Healthcare (ECG),Linear / Ridge,Attack_4,7,AVF,0.993405
Healthcare (ECG),Linear / Ridge,Attack_4,8,II,0.932534
Healthcare (ECG),Linear / Ridge,Attack_4,9,I,0.793273
Healthcare (ECG),Linear / Ridge,Attack_4,10,III,0.745442
Healthcare (ECG),Linear / Ridge,Attack_4,11,V1,0.728493
Healthcare (ECG),Linear / Ridge,Attack_4,12,V6,0.712843
Healthcare (ECG),Linear / Ridge,Attack_5,1,AVR,1.747996
Healthcare (ECG),Linear / Ridge,Attack_5,2,V1,1.708608
Healthcare (ECG),Linear / Ridge,Attack_5,3,AVL,1.493609
Healthcare (ECG),Linear / Ridge,Attack_5,4,V2,1.421080
Healthcare (ECG),Linear / Ridge,Attack_5,5,AVF,1.022847
Healthcare (ECG),Linear / Ridge,Attack_5,6,III,0.981509
Healthcare (ECG),Linear / Ridge,Attack_5,7,I,0.890642
Healthcare (ECG),Linear / Ridge,Attack_5,8,V3,0.766461
Healthcare (ECG),Linear / Ridge,Attack_5,9,II,0.756172
Healthcare (ECG),Linear / Ridge,Attack_5,10,V4,0.402240
Healthcare (ECG),Linear / Ridge,Attack_5,11,V5,0.370711
Healthcare (ECG),Linear / Ridge,Attack_5,12,V6,0.278437
Healthcare (ECG),Linear / Ridge,Attack_6,1,V3,1.755890
Healthcare (ECG),Linear / Ridge,Attack_6,2,AVL,1.385656
Healthcare (ECG),Linear / Ridge,Attack_6,3,V2,1.307767
Healthcare (ECG),Linear / Ridge,Attack_6,4,AVR,1.182691
Healthcare (ECG),Linear / Ridge,Attack_6,5,V4,1.061557
Healthcare (ECG),Linear / Ridge,Attack_6,6,V5,0.850657
Healthcare (ECG),Linear / Ridge,Attack_6,7,V1,0.815909
Healthcare (ECG),Linear / Ridge,Attack_6,8,I,0.746729
Healthcare (ECG),Linear / Ridge,Attack_6,9,III,0.725843
Healthcare (ECG),Linear / Ridge,Attack_6,10,AVF,0.721472
Healthcare (ECG),Linear / Ridge,Attack_6,11,II,0.615237
Healthcare (ECG),Linear / Ridge,Attack_6,12,V6,0.593321
Healthcare (ECG),Linear / Ridge,Attack_7,1,V3,2.374030
Healthcare (ECG),Linear / Ridge,Attack_7,2,V2,2.018858
Healthcare (ECG),Linear / Ridge,Attack_7,3,V1,1.580433
Healthcare (ECG),Linear / Ridge,Attack_7,4,V6,1.476238
Healthcare (ECG),Linear / Ridge,Attack_7,5,I,1.257137
Healthcare (ECG),Linear / Ridge,Attack_7,6,AVR,1.155494
Healthcare (ECG),Linear / Ridge,Attack_7,7,II,1.110999
Healthcare (ECG),Linear / Ridge,Attack_7,8,V4,1.016724
Healthcare (ECG),Linear / Ridge,Attack_7,9,AVL,0.909993
Healthcare (ECG),Linear / Ridge,Attack_7,10,V5,0.838132
Healthcare (ECG),Linear / Ridge,Attack_7,11,III,0.636107
Healthcare (ECG),Linear / Ridge,Attack_7,12,AVF,0.492455
Healthcare (ECG),Linear / Ridge,Attack_8,1,V4,1.960424
Healthcare (ECG),Linear / Ridge,Attack_8,2,V3,1.927805
Healthcare (ECG),Linear / Ridge,Attack_8,3,AVL,1.589276
Healthcare (ECG),Linear / Ridge,Attack_8,4,III,1.183418
Healthcare (ECG),Linear / Ridge,Attack_8,5,V2,1.182546
Healthcare (ECG),Linear / Ridge,Attack_8,6,AVR,1.060031
Healthcare (ECG),Linear / Ridge,Attack_8,7,V5,1.055608
Healthcare (ECG),Linear / Ridge,Attack_8,8,I,1.009121
Healthcare (ECG),Linear / Ridge,Attack_8,9,V6,0.902656
Healthcare (ECG),Linear / Ridge,Attack_8,10,V1,0.785195
Healthcare (ECG),Linear / Ridge,Attack_8,11,II,0.498248
Healthcare (ECG),Linear / Ridge,Attack_8,12,AVF,0.303596
