Dataset,Model Variant,Fault Name,Top Variable 1,Top Variable 2,Top Variable 3
Healthcare (ECG),Linear / Ridge,Attack_1,II,V6,V5
Healthcare (ECG),Linear / Ridge,Attack_2,V4,V3,V5
Healthcare (ECG),Linear / Ridge,Attack_3,V3,AVL,V6
Healthcare (ECG),Linear / Ridge,Attack_4,V3,AVL,V2
Healthcare (ECG),Linear / Ridge,Attack_5,AVR,V1,AVL
Healthcare (ECG),Linear / Ridge,Attack_6,V3,AVL,V2
Healthcare (ECG),Linear / Ridge,Attack_7,V3,V2,V1
Healthcare (ECG),Linear / Ridge,Attack_8,V4,V3,AVL
Healthcare (ECG),Linear / Ridge,Attack_9,V6,V5,V3
Healthcare (ECG),Linear / Ridge,Attack_10,V1,V2,V3
Healthcare (ECG),Linear / Ridge,Attack_11,AVL,AVR,V3
Healthcare (ECG),Linear / Ridge,Attack_12,V3,AVL,V5
Healthcare (ECG),Linear / Ridge,Attack_13,II,AVF,V4
Healthcare (ECG),Linear / Ridge,Attack_14,V5,V4,AVL
Healthcare (ECG),Linear / Ridge,Attack_15,V6,AVR,AVL
Healthcare (ECG),Linear / Ridge,Attack_16,II,V3,III
Healthcare (ECG),Linear / Ridge,Attack_17,V5,V4,II
Healthcare (ECG),Linear / Ridge,Attack_18,V4,V3,V5
Healthcare (ECG),Linear / Ridge,Attack_19,AVL,V1,I
Healthcare (ECG),Linear / Ridge,Attack_20,V6,V5,AVR
Healthcare (ECG),Polynomial degree 3,Attack_1,AVF,II,AVL
Healthcare (ECG),Polynomial degree 3,Attack_2,V4,V3,V5
Healthcare (ECG),Polynomial degree 3,Attack_3,V5,V3,V4
Healthcare (ECG),Polynomial degree 3,Attack_4,AVF,II,AVL
Healthcare (ECG),Polynomial degree 3,Attack_5,AVR,V1,I
Healthcare (ECG),Polynomial degree 3,Attack_6,V3,V4,V5
Healthcare (ECG),Polynomial degree 3,Attack_7,V3,V4,V5
Healthcare (ECG),Polynomial degree 3,Attack_8,V4,V6,V3
Healthcare (ECG),Polynomial degree 3,Attack_9,V3,V2,III
Healthcare (ECG),Polynomial degree 3,Attack_10,V1,AVF,V2
Healthcare (ECG),Polynomial degree 3,Attack_11,AVR,V3,V2
Healthcare (ECG),Polynomial degree 3,Attack_12,V5,V6,AVL
Healthcare (ECG),Polynomial degree 3,Attack_13,AVF,V2,II
Healthcare (ECG),Polynomial degree 3,Attack_14,AVR,V5,II
Healthcare (ECG),Polynomial degree 3,Attack_15,V6,II,I
Healthcare (ECG),Polynomial degree 3,Attack_16,AVR,II,V3
Healthcare (ECG),Polynomial degree 3,Attack_17,V5,V6,II
Healthcare (ECG),Polynomial degree 3,Attack_18,V3,V4,V2
Healthcare (ECG),Polynomial degree 3,Attack_19,II,III,V4
Healthcare (ECG),Polynomial degree 3,Attack_20,V5,V6,V3
Healthcare (ECG),RBF + Ridge,Attack_1,III,AVF,V6
Healthcare (ECG),RBF + Ridge,Attack_2,V2,I,V3
Healthcare (ECG),RBF + Ridge,Attack_3,V2,V6,V5
Healthcare (ECG),RBF + Ridge,Attack_4,V2,I,AVL
Healthcare (ECG),RBF + Ridge,Attack_5,V2,V1,I
Healthcare (ECG),RBF + Ridge,Attack_6,V2,I,V3
Healthcare (ECG),RBF + Ridge,Attack_7,I,AVR,V2
Healthcare (ECG),RBF + Ridge,Attack_8,V2,V3,I
Healthcare (ECG),RBF + Ridge,Attack_9,V6,V5,V3
Healthcare (ECG),RBF + Ridge,Attack_10,V1,V3,V2
Healthcare (ECG),RBF + Ridge,Attack_11,I,V2,AVL
Healthcare (ECG),RBF + Ridge,Attack_12,I,AVL,V2
Healthcare (ECG),RBF + Ridge,Attack_13,V2,III,V3
Healthcare (ECG),RBF + Ridge,Attack_14,I,V5,AVR
Healthcare (ECG),RBF + Ridge,Attack_15,V6,AVR,I
Healthcare (ECG),RBF + Ridge,Attack_16,V3,III,AVF
Healthcare (ECG),RBF + Ridge,Attack_17,AVL,III,I
Healthcare (ECG),RBF + Ridge,Attack_18,V4,V5,V3
Healthcare (ECG),RBF + Ridge,Attack_19,I,V1,AVL
Healthcare (ECG),RBF + Ridge,Attack_20,V6,V5,I
