Dataset,Model Variant,Fault Name,Top Variable 1,Top Variable 2,Top Variable 3
Healthcare (ECG),Linear / Ridge,Attack_1,II,V5,V4
Healthcare (ECG),Linear / Ridge,Attack_2,V4,I,V5
Healthcare (ECG),Linear / Ridge,Attack_3,I,V1,V3
Healthcare (ECG),Linear / Ridge,Attack_4,I,V2,V5
Healthcare (ECG),Linear / Ridge,Attack_5,I,V2,II
Healthcare (ECG),Linear / Ridge,Attack_6,I,V2,V1
Healthcare (ECG),Linear / Ridge,Attack_7,I,V5,V4
Healthcare (ECG),Linear / Ridge,Attack_8,I,V4,V1
Healthcare (ECG),Linear / Ridge,Attack_9,V6,V5,V4
Healthcare (ECG),Linear / Ridge,Attack_10,V1,II,V3
Healthcare (ECG),Linear / Ridge,Attack_11,I,V2,V1
Healthcare (ECG),Linear / Ridge,Attack_12,I,V6,V5
Healthcare (ECG),Linear / Ridge,Attack_13,II,V2,I
Healthcare (ECG),Linear / Ridge,Attack_14,V5,V4,V3
Healthcare (ECG),Linear / Ridge,Attack_15,V6,II,V1
Healthcare (ECG),Linear / Ridge,Attack_16,II,V3,V2
Healthcare (ECG),Linear / Ridge,Attack_17,I,V5,II
Healthcare (ECG),Linear / Ridge,Attack_18,V4,V5,V1
Healthcare (ECG),Linear / Ridge,Attack_19,I,V1,II
Healthcare (ECG),Linear / Ridge,Attack_20,V6,V3,I
Healthcare (ECG),Polynomial degree 3,Attack_1,II,V5,V3
Healthcare (ECG),Polynomial degree 3,Attack_2,V4,V5,V6
Healthcare (ECG),Polynomial degree 3,Attack_3,V5,V4,V6
Healthcare (ECG),Polynomial degree 3,Attack_4,V4,V5,I
Healthcare (ECG),Polynomial degree 3,Attack_5,I,V2,V3
Healthcare (ECG),Polynomial degree 3,Attack_6,V4,V5,V6
Healthcare (ECG),Polynomial degree 3,Attack_7,I,V4,V5
Healthcare (ECG),Polynomial degree 3,Attack_8,V4,V6,V5
Healthcare (ECG),Polynomial degree 3,Attack_9,II,V3,V2
Healthcare (ECG),Polynomial degree 3,Attack_10,V3,V1,V2
Healthcare (ECG),Polynomial degree 3,Attack_11,I,V5,V4
Healthcare (ECG),Polynomial degree 3,Attack_12,I,V6,V5
Healthcare (ECG),Polynomial degree 3,Attack_13,II,V4,I
Healthcare (ECG),Polynomial degree 3,Attack_14,V5,V3,V4
Healthcare (ECG),Polynomial degree 3,Attack_15,V6,V2,V1
Healthcare (ECG),Polynomial degree 3,Attack_16,V3,II,V2
Healthcare (ECG),Polynomial degree 3,Attack_17,V5,I,II
Healthcare (ECG),Polynomial degree 3,Attack_18,V4,V3,V5
Healthcare (ECG),Polynomial degree 3,Attack_19,I,V5,V4
Healthcare (ECG),Polynomial degree 3,Attack_20,V5,V4,V6
Healthcare (ECG),RBF + Ridge,Attack_1,V6,V5,II
Healthcare (ECG),RBF + Ridge,Attack_2,V3,I,V2
Healthcare (ECG),RBF + Ridge,Attack_3,V3,V6,V2
Healthcare (ECG),RBF + Ridge,Attack_4,I,V6,V3
Healthcare (ECG),RBF + Ridge,Attack_5,V1,I,V2
Healthcare (ECG),RBF + Ridge,Attack_6,I,V3,V6
Healthcare (ECG),RBF + Ridge,Attack_7,I,V3,V2
Healthcare (ECG),RBF + Ridge,Attack_8,I,V3,V4
Healthcare (ECG),RBF + Ridge,Attack_9,V3,V2,V6
Healthcare (ECG),RBF + Ridge,Attack_10,V1,V2,V3
Healthcare (ECG),RBF + Ridge,Attack_11,I,V3,V2
Healthcare (ECG),RBF + Ridge,Attack_12,I,V3,V2
Healthcare (ECG),RBF + Ridge,Attack_13,II,V2,I
Healthcare (ECG),RBF + Ridge,Attack_14,I,V5,V6
Healthcare (ECG),RBF + Ridge,Attack_15,V6,I,II
Healthcare (ECG),RBF + Ridge,Attack_16,V3,II,V4
Healthcare (ECG),RBF + Ridge,Attack_17,V5,V4,I
Healthcare (ECG),RBF + Ridge,Attack_18,V4,V5,V3
Healthcare (ECG),RBF + Ridge,Attack_19,I,V1,V2
Healthcare (ECG),RBF + Ridge,Attack_20,V6,V5,V3
