Dataset,Model Variant,Fault Name,Rank,Variable,Score
Industrial (TEP),Linear / Ridge,Fault_1,1,XMEAS_1,71.176893
Industrial (TEP),Linear / Ridge,Fault_1,2,XMEAS_20,63.902589
Industrial (TEP),Linear / Ridge,Fault_1,3,XMEAS_4,32.110445
Industrial (TEP),Linear / Ridge,Fault_1,4,XMV_5,16.729515
Industrial (TEP),Linear / Ridge,Fault_1,5,XMEAS_19,15.089706
Industrial (TEP),Linear / Ridge,Fault_1,6,XMV_9,13.846400
Industrial (TEP),Linear / Ridge,Fault_1,7,XMEAS_16,13.764557
Industrial (TEP),Linear / Ridge,Fault_1,8,XMEAS_29,10.270771
Industrial (TEP),Linear / Ridge,Fault_1,9,XMEAS_18,9.010096
Industrial (TEP),Linear / Ridge,Fault_1,10,XMEAS_7,8.411214
Industrial (TEP),Linear / Ridge,Fault_1,11,XMEAS_28,6.580712
Industrial (TEP),Linear / Ridge,Fault_1,12,XMEAS_3,6.209602
Industrial (TEP),Linear / Ridge,Fault_1,13,XMV_4,5.901430
Industrial (TEP),Linear / Ridge,Fault_1,14,XMEAS_8,5.425559
Industrial (TEP),Linear / Ridge,Fault_1,15,XMEAS_27,5.171041
Industrial (TEP),Linear / Ridge,Fault_1,16,XMEAS_30,5.101556
Industrial (TEP),Linear / Ridge,Fault_1,17,XMEAS_25,4.351168
Industrial (TEP),Linear / Ridge,Fault_1,18,XMEAS_38,4.188535
Industrial (TEP),Linear / Ridge,Fault_1,19,XMEAS_33,4.038137
Industrial (TEP),Linear / Ridge,Fault_1,20,XMV_11,3.838911
Industrial (TEP),Linear / Ridge,Fault_1,21,XMEAS_17,3.765225
Industrial (TEP),Linear / Ridge,Fault_1,22,XMEAS_34,3.571705
Industrial (TEP),Linear / Ridge,Fault_1,23,XMEAS_31,3.555907
Industrial (TEP),Linear / Ridge,Fault_1,24,XMV_6,3.496374
Industrial (TEP),Linear / Ridge,Fault_1,25,XMEAS_35,3.442286
Industrial (TEP),Linear / Ridge,Fault_1,26,XMEAS_21,3.433907
Industrial (TEP),Linear / Ridge,Fault_1,27,XMV_2,3.424575
Industrial (TEP),Linear / Ridge,Fault_1,28,XMEAS_13,3.388307
Industrial (TEP),Linear / Ridge,Fault_1,29,XMEAS_23,3.381967
Industrial (TEP),Linear / Ridge,Fault_1,30,XMEAS_10,3.296259
Industrial (TEP),Linear / Ridge,Fault_1,31,XMV_10,3.226679
Industrial (TEP),Linear / Ridge,Fault_1,32,XMEAS_9,2.757996
Industrial (TEP),Linear / Ridge,Fault_1,33,XMEAS_22,2.744716
Industrial (TEP),Linear / Ridge,Fault_1,34,XMV_1,2.544652
Industrial (TEP),Linear / Ridge,Fault_1,35,XMEAS_6,1.880865
Industrial (TEP),Linear / Ridge,Fault_1,36,XMEAS_36,1.606956
Industrial (TEP),Linear / Ridge,Fault_1,37,XMV_3,1.428293
