Dataset,Model Variant,Fault Name,Rank,Variable,Score
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,1,WheelFRTemp,33.727319
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,2,HeadPicthTemp,33.351035
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,3,RElbowYawTemp,28.218118
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,4,LElbowYawTemp,25.703289
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,5,LaserR06X,22.088130
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,6,AnglesZ,21.959181
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,7,LaserR07X,21.298158
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,8,LaserR10X,20.253447
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,9,WheelBTemp,20.134356
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,10,LaserR08X,16.951356
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,11,LaserF01X.1,16.887336
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,12,RElbowRollTemp,16.874088
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,13,LaserR15X,16.752174
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,14,LaserF10X,16.686662
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,15,LaserF12X,15.942471
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,16,HipPicthTemp,14.959998
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,17,LaserShovel01Y,14.891513
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,18,KneePicthTemp,14.874602
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,19,LaserF02X,14.642531
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,20,LaserF11X,14.202831
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,21,LaserShovel01X,13.775073
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,22,LShoulderRollTemp,13.701470
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,23,LaserShovel02X,13.666516
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,24,LaserF06X,13.245881
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,25,LaserShovel03X,13.240471
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,26,LaserF07X.1,12.980805
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,27,LaserF13X,12.880011
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,28,LaserR04X,12.710346
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,29,LaserF01X,12.635210
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,30,LaserF05X.1,12.560596
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,31,LaserF08X,12.407076
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,32,LaserR14X,12.316466
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,33,RShoulderPitchTemp,12.179919
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,34,SonarF,12.048458
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,35,WheelFLTemp,11.842518
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,36,WheelBStiff,11.828551
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,37,LaserF07X,11.826368
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,38,LShoulderPitchTemp,11.321153
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,39,LaserL12X,11.314779
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,40,LaserL11X,11.016242
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,41,RShoulderRollTemp,10.961970
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,42,LaserR09X,10.791808
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,43,HipRollTemp,10.768256
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,44,RhandTemp,10.553284
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,45,LHandTemp,10.418885
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,46,LaserF09X,10.332157
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,47,LaserF02X.1,10.327461
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,48,LaserF03X.1,10.011296
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,49,LaserR12X,9.960159
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,50,LaserF08X.1,9.707789
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,51,LaserF04X,9.560861
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,52,LaserShovel03Y,9.307383
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,53,WheelFRStiff,8.963127
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,54,LaserL15X,8.707990
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,55,LaserF14X,8.575417
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,56,HeadYawTemp,8.159284
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,57,LaserR15Y,8.115007
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,58,LaserF05X,8.000901
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,59,LaserR01X,7.869481
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,60,LaserL13X,7.746741
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,61,LaserF09X.1,7.673352
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,62,LaserF01Y.1,7.641933
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,63,RWristYawTemp,7.349533
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,64,LaserShovel02Y,7.015951
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,65,LElbowRollTemp,7.006834
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,66,LaserR11X,6.787230
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,67,LaserF15X,6.490935
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,68,LaserF03X,6.428675
Robotics (Pepper),Linear / Ridge,WheelsControl.csv,69,KneePicthStiff,6.283566
