kind,domain,rule,method,against,n_classes,value,ci_low,ci_high,separates,n_pos,n_neg,n_tie,p_exact,p_holm,min_p,family,degenerate
relevance,healthcare,std1,CAM-UV,,14,23.2,11.1,37.5,,,,,,,0.00012,,no
relevance,healthcare,std1,GES,,14,31.7,18.7,47.2,,,,,,,0.00012,,no
relevance,healthcare,std1,PCMCI,,14,17.9,4.8,33.7,,,,,,,0.00012,,no
relevance,healthcare,std1,SHAP,,14,25.2,12.7,38.9,,,,,,,0.00012,,no
relevance,healthcare,top10,CAM-UV,,14,25.0,19.3,30.2,,,,,,,0.00012,,no
relevance,healthcare,top10,GES,,14,34.9,29.4,39.7,,,,,,,0.00012,,yes
relevance,healthcare,top10,PCMCI,,14,25.2,21.0,29.3,,,,,,,0.00012,,no
relevance,healthcare,top10,SHAP,,14,26.0,21.0,30.2,,,,,,,0.00012,,no
relevance,healthcare,top3,CAM-UV,,14,27.8,15.1,42.1,,,,,,,0.00012,,no
relevance,healthcare,top3,GES,,14,34.1,22.2,45.2,,,,,,,0.00012,,no
relevance,healthcare,top3,PCMCI,,14,15.9,6.3,27.0,,,,,,,0.00012,,no
relevance,healthcare,top3,SHAP,,14,27.8,17.5,38.9,,,,,,,0.00012,,no
relevance,healthcare,top5,CAM-UV,,14,28.1,19.5,37.1,,,,,,,0.00012,,no
relevance,healthcare,top5,GES,,14,35.7,27.1,43.8,,,,,,,0.00012,,no
relevance,healthcare,top5,PCMCI,,14,18.1,10.5,26.7,,,,,,,0.00012,,no
relevance,healthcare,top5,SHAP,,14,28.6,21.4,36.2,,,,,,,0.00012,,no
relevance,industrial,std1,CAM-UV,,5,40.6,22.8,70.8,,,,,,,0.06250,,no
relevance,industrial,std1,GES,,5,37.2,8.3,68.9,,,,,,,0.06250,,no
relevance,industrial,std1,PCMCI,,5,28.1,19.1,41.1,,,,,,,0.06250,,no
relevance,industrial,std1,SHAP,,5,43.6,20.4,73.3,,,,,,,0.06250,,no
relevance,industrial,top10,CAM-UV,,5,10.0,10.0,10.0,,,,,,,0.06250,,no
relevance,industrial,top10,GES,,5,6.0,2.0,10.0,,,,,,,0.06250,,no
relevance,industrial,top10,PCMCI,,5,8.7,7.3,10.0,,,,,,,0.06250,,no
relevance,industrial,top10,SHAP,,5,10.0,10.0,10.0,,,,,,,0.06250,,no
relevance,industrial,top3,CAM-UV,,5,28.9,24.4,33.3,,,,,,,0.06250,,no
relevance,industrial,top3,GES,,5,20.0,6.7,33.3,,,,,,,0.06250,,no
relevance,industrial,top3,PCMCI,,5,24.4,17.8,31.1,,,,,,,0.06250,,no
relevance,industrial,top3,SHAP,,5,26.7,13.3,33.3,,,,,,,0.06250,,no
relevance,industrial,top5,CAM-UV,,5,17.3,14.7,20.0,,,,,,,0.06250,,no
relevance,industrial,top5,GES,,5,12.0,4.0,20.0,,,,,,,0.06250,,no
relevance,industrial,top5,PCMCI,,5,14.7,10.7,18.7,,,,,,,0.06250,,no
relevance,industrial,top5,SHAP,,5,18.7,16.0,20.0,,,,,,,0.06250,,no
relevance,robotics,std1,CAM-UV,,3,81.6,55.0,100.0,,,,,,,0.25000,,no
relevance,robotics,std1,GES,,3,58.7,15.0,88.9,,,,,,,0.25000,,no
relevance,robotics,std1,PCMCI,,3,53.3,16.8,77.8,,,,,,,0.25000,,no
relevance,robotics,std1,SHAP,,3,78.3,61.9,92.9,,,,,,,0.25000,,no
relevance,robotics,top10,CAM-UV,,3,46.7,20.0,90.0,,,,,,,0.25000,,no
relevance,robotics,top10,GES,,3,30.0,13.3,56.7,,,,,,,0.25000,,no
relevance,robotics,top10,PCMCI,,3,45.6,20.0,83.3,,,,,,,0.25000,,no
relevance,robotics,top10,SHAP,,3,64.4,40.0,96.7,,,,,,,0.25000,,no
relevance,robotics,top3,CAM-UV,,3,74.1,66.7,88.9,,,,,,,0.25000,,no
relevance,robotics,top3,GES,,3,48.1,11.1,66.7,,,,,,,0.25000,,no
relevance,robotics,top3,PCMCI,,3,70.4,66.7,77.8,,,,,,,0.25000,,no
relevance,robotics,top3,SHAP,,3,85.2,77.8,88.9,,,,,,,0.25000,,no
relevance,robotics,top5,CAM-UV,,3,62.2,40.0,93.3,,,,,,,0.25000,,no
relevance,robotics,top5,GES,,3,37.8,13.3,60.0,,,,,,,0.25000,,no
relevance,robotics,top5,PCMCI,,3,57.8,40.0,80.0,,,,,,,0.25000,,no
relevance,robotics,top5,SHAP,,3,84.4,80.0,93.3,,,,,,,0.25000,,no
relevance_paired,healthcare,std1,SHAP,PCMCI,14,7.3,0.2,14.7,no,6,3,5,0.5078,,0.00391,exploratory,no
relevance_paired,healthcare,std1,SHAP,GES,14,-6.5,-27.2,12.5,no,6,7,1,1.0000,,0.00024,exploratory,no
relevance_paired,healthcare,std1,SHAP,CAM-UV,14,2.0,-17.1,18.7,no,8,5,1,0.5811,,0.00024,exploratory,no
relevance_paired,healthcare,top10,SHAP,PCMCI,14,0.7,-2.4,3.6,no,6,4,4,0.7539,,0.00195,exploratory,no
relevance_paired,healthcare,top10,SHAP,GES,14,-9.0,-12.5,-5.2,yes,1,13,0,0.0018,,0.00012,exploratory,yes
relevance_paired,healthcare,top10,SHAP,CAM-UV,14,1.0,-2.1,4.0,no,6,3,5,0.5078,,0.00391,exploratory,no
relevance_paired,healthcare,top3,SHAP,PCMCI,14,11.9,6.3,17.5,yes,10,1,3,0.0117,0.0352,0.00098,primary,no
relevance_paired,healthcare,top3,SHAP,GES,14,-6.3,-19.8,7.9,no,5,7,2,0.7744,1.0000,0.00049,primary,no
relevance_paired,healthcare,top3,SHAP,CAM-UV,14,0.0,-15.1,14.3,no,7,6,1,1.0000,1.0000,0.00024,primary,no
relevance_paired,healthcare,top5,SHAP,PCMCI,14,10.5,3.8,16.7,yes,10,2,2,0.0386,,0.00049,exploratory,no
relevance_paired,healthcare,top5,SHAP,GES,14,-7.1,-15.7,2.4,no,5,8,1,0.5811,,0.00024,exploratory,no
relevance_paired,healthcare,top5,SHAP,CAM-UV,14,0.5,-9.0,10.0,no,6,5,3,1.0000,,0.00098,exploratory,no
relevance_paired,industrial,std1,SHAP,PCMCI,5,15.6,-2.7,33.9,n/a,3,2,0,1.0000,,0.06250,exploratory,no
relevance_paired,industrial,std1,SHAP,GES,5,6.4,-4.4,17.5,n/a,3,1,1,0.6250,,0.12500,exploratory,no
relevance_paired,industrial,std1,SHAP,CAM-UV,5,3.1,-8.3,16.4,n/a,2,2,1,1.0000,,0.12500,exploratory,no
relevance_paired,industrial,top10,SHAP,PCMCI,5,1.3,0.0,2.7,n/a,2,0,3,0.5000,,0.50000,exploratory,no
relevance_paired,industrial,top10,SHAP,GES,5,4.0,0.0,8.0,n/a,2,0,3,0.5000,,0.50000,exploratory,no
relevance_paired,industrial,top10,SHAP,CAM-UV,5,0.0,0.0,0.0,n/a,0,0,5,1.0000,,1.00000,exploratory,no
relevance_paired,industrial,top3,SHAP,PCMCI,5,2.2,-11.1,13.3,n/a,2,1,2,1.0000,1.0000,0.25000,primary,no
relevance_paired,industrial,top3,SHAP,GES,5,6.7,0.0,20.0,n/a,1,0,4,1.0000,1.0000,1.00000,primary,no
relevance_paired,industrial,top3,SHAP,CAM-UV,5,-2.2,-13.3,6.7,n/a,1,1,3,1.0000,1.0000,0.50000,primary,no
relevance_paired,industrial,top5,SHAP,PCMCI,5,4.0,0.0,9.3,n/a,2,0,3,0.5000,,0.50000,exploratory,no
