Variable,Baseline rank,Variables ranked,Baseline RMS
GyroscopeX,1,244,0.0005
GyroscopeY,2,244,0.0019
HipRoll,3,244,0.0024
AnglesX,4,244,0.0024
AnglesY,5,244,0.0026
LaserF07Y.1,6,244,0.0062
LaserF07Y,7,244,0.0081
GyroscopeZ,8,244,0.0125
LShoulderRoll,9,244,0.0183
LaserVeR01Y,10,244,0.0191
WheelBSpeed,11,244,0.0258
LedEarL3,12,244,0.0268
LedEarR3,13,244,0.0268
WheelFRSpeed,14,244,0.0298
RShoulderRoll,15,244,0.0306
LaserVeL01Y,16,244,0.0311
AccelerometerX,17,244,0.0319
WheelFLSpeed,18,244,0.0369
Rhand,19,244,0.0414
LHandStiff,20,244,0.0446
AccelerometerY,21,244,0.0504
AccelerometerZ,22,244,0.0512
TabletTouchY,23,244,0.0521
LaserF06Y.1,24,244,0.0569
TabletTouchX,25,244,0.0583
LaserF06Y,26,244,0.0591
LShoulderRollStiff,27,244,0.0640
LShoulderPitch,28,244,0.0664
LaserR09Y,29,244,0.0667
RhandStiff,30,244,0.0719
KneePicth,31,244,0.0744
RShoulderPitch,32,244,0.0759
LedFaceBL2,33,244,0.0878
LedFaceBR7,34,244,0.0878
LedShoulderB,35,244,0.0980
LElbowRoll,36,244,0.1023
LElbowRollStiff,37,244,0.1046
RShoulderPitchStiff,38,244,0.1093
LedFaceBL1,39,244,0.1105
LedFaceBR8,40,244,0.1105
LWristYawStiff,41,244,0.1193
LaserL10Y,42,244,0.1214
LedFaceBL3,43,244,0.1231
LedFaceBR6,44,244,0.1231
LaserF03Y,45,244,0.1241
LShoulderPitchStiff,46,244,0.1246
LElbowYawStiff,47,244,0.1283
LedFaceBR5,48,244,0.1370
LedFaceBL4,49,244,0.1370
LaserF08Y,50,244,0.1399
LaserVeR01X,51,244,0.1435
RShoulderRollStiff,52,244,0.1439
RElbowRoll,53,244,0.1465
LaserF05Y,54,244,0.1466
RElbowRollStiff,55,244,0.1523
HeadYaw,56,244,0.1561
LaserF09Y,57,244,0.1570
SonarB,58,244,0.1579
LedFaceGL2,59,244,0.1594
LedFaceGR7,60,244,0.1594
RElbowYawStiff,61,244,0.1604
LHand,62,244,0.1615
LedFaceGL1,63,244,0.1616
LedFaceGR8,64,244,0.1616
LedFaceGR5,65,244,0.1641
LedFaceGL4,66,244,0.1641
RElbowYaw,67,244,0.1649
LedFaceGR6,68,244,0.1664
LedFaceGL3,69,244,0.1664
LedFaceGL5,70,244,0.1694
LedFaceGR4,71,244,0.1694
LedFaceBL7,72,244,0.1696
LedFaceBR2,73,244,0.1696
LedEarR8,74,244,0.1724
LedEarL8,75,244,0.1724
RWristYaw,76,244,0.1724
RWristYawStiff,77,244,0.1771
LaserF04Y.1,78,244,0.1799
HipPicth,79,244,0.1800
LedFaceGR3,80,244,0.1803
LedFaceGL6,81,244,0.1803
LaserF09Y.1,82,244,0.1804
LaserF05Y.1,83,244,0.1822
KneePicthStiff,84,244,0.1830
LedFaceGR2,85,244,0.1857
LedFaceGL7,86,244,0.1857
LedFaceBL8,87,244,0.1867
LedFaceBR1,88,244,0.1867
LedFaceGR1,89,244,0.1899
LedFaceGL8,90,244,0.1899
LedFaceRR4,91,244,0.1915
LedFaceRR3,92,244,0.1915
LedFaceRR6,93,244,0.1915
LedFaceRR5,94,244,0.1915
LedFaceRR2,95,244,0.1915
LedFaceRR1,96,244,0.1915
LedFaceRR8,97,244,0.1915
LedFaceRR7,98,244,0.1915
LedFaceRL2,99,244,0.1915
LedFaceRL1,100,244,0.1915
LedFaceRL4,101,244,0.1915
LedFaceRL3,102,244,0.1915
LedFaceRL7,103,244,0.1915
LedFaceRL8,104,244,0.1915
LedFaceRL5,105,244,0.1915
LedFaceRL6,106,244,0.1915
LWristYaw,107,244,0.1939
HipPicthStiff,108,244,0.1944
LedFaceBR3,109,244,0.1948
LedFaceBL6,110,244,0.1948
LaserR08Y,111,244,0.2006
LaserF11Y,112,244,0.2035
LaserR10Y,113,244,0.2121
LedEarL6,114,244,0.2136
LedEarR1,115,244,0.2136
LedEarR5,116,244,0.2136
LedEarR9,117,244,0.2136
LedEarR10,118,244,0.2136
LedEarR6,119,244,0.2136
LedEarR2,120,244,0.2136
LedEarL2,121,244,0.2136
LedEarR4,122,244,0.2136
LedEarL9,123,244,0.2136
LedEarL4,124,244,0.2136
LedEarL10,125,244,0.2136
LedEarL7,126,244,0.2136
LedEarL5,127,244,0.2136
LedEarR7,128,244,0.2136
LedEarL1,129,244,0.2136
LaserF08Y.1,130,244,0.2216
LaserF04Y,131,244,0.2425
LedFaceBL5,132,244,0.2506
LedFaceBR4,133,244,0.2506
WheelFLStiff,134,244,0.2639
LaserF03Y.1,135,244,0.2736
HeadPicth,136,244,0.2837
LaserR07Y,137,244,0.2935
LaserF10Y,138,244,0.3045
LaserVeL01X,139,244,0.3070
LaserF02Y,140,244,0.3114
