Dataset,Folder,Variant,AUC,CI_low,CI_high,n,block,HM_low,HM_high
Healthcare (ECG),CAM_UV_healthcare,Linear / Ridge,0.7861,0.7319,0.8325,3115,15,0.7703,0.8019
Healthcare (ECG),CAM_UV_healthcare,Polynomial degree 3,0.7691,0.7103,0.8196,3115,15,0.7528,0.7854
Healthcare (ECG),CAM_UV_healthcare,RBF + Ridge,0.7692,0.7161,0.8198,3115,15,0.7529,0.7855
Industrial (TEP),CAM_UV_industrial,Linear / Ridge,0.8428,0.7601,0.9007,1323,11,0.8070,0.8787
Industrial (TEP),CAM_UV_industrial,Polynomial degree 3,0.8212,0.7000,0.9153,1323,11,0.7816,0.8607
Industrial (TEP),CAM_UV_industrial,RBF + Ridge,0.8922,0.8109,0.9416,1323,11,0.8656,0.9189
Robotics (Pepper),CAM_UV_robotics,Linear / Ridge,0.6497,0.5475,0.7383,1378,11,0.6209,0.6785
Robotics (Pepper),CAM_UV_robotics,Polynomial degree 3,0.6888,0.5952,0.7714,1378,11,0.6612,0.7164
Robotics (Pepper),CAM_UV_robotics,RBF + Ridge,0.7818,0.6915,0.8564,1378,11,0.7581,0.8055
Healthcare (ECG),GES_healthcare,Linear / Ridge,0.8114,0.7628,0.8540,3115,15,0.7965,0.8263
Healthcare (ECG),GES_healthcare,Polynomial degree 3,0.7867,0.7314,0.8379,3115,15,0.7709,0.8025
Healthcare (ECG),GES_healthcare,RBF + Ridge,0.7620,0.7061,0.8141,3115,15,0.7455,0.7785
Industrial (TEP),GES_industrial,Linear / Ridge,0.8407,0.7463,0.9022,1323,11,0.8045,0.8769
Industrial (TEP),GES_industrial,Polynomial degree 3,0.8849,0.8048,0.9355,1323,11,0.8568,0.9130
Industrial (TEP),GES_industrial,RBF + Ridge,0.8994,0.8206,0.9508,1323,11,0.8741,0.9246
Robotics (Pepper),GES_robotic,Linear / Ridge,0.5906,0.4873,0.6761,1378,11,0.5604,0.6207
Robotics (Pepper),GES_robotic,Polynomial degree 3,0.6999,0.6017,0.7804,1378,11,0.6727,0.7271
Robotics (Pepper),GES_robotic,RBF + Ridge,0.6516,0.5472,0.7400,1378,11,0.6228,0.6803
Healthcare (ECG),PCMCI_healthcare,Linear / Ridge,0.6181,0.5536,0.6755,4806,17,0.6023,0.6339
Healthcare (ECG),PCMCI_healthcare,Polynomial degree 3,0.5075,0.4429,0.5663,4806,17,0.4909,0.5242
Healthcare (ECG),PCMCI_healthcare,RBF + Ridge,0.7147,0.6597,0.7640,4806,17,0.7004,0.7289
Industrial (TEP),PCMCI_industrial,Linear / Ridge,0.8860,0.8537,0.9124,16716,26,0.8782,0.8939
Industrial (TEP),PCMCI_industrial,Polynomial degree 3,0.9151,0.8880,0.9394,16716,26,0.9089,0.9213
Industrial (TEP),PCMCI_industrial,RBF + Ridge,0.8495,0.8118,0.8796,16716,26,0.8398,0.8593
Robotics (Pepper),PCMCI_robotic,Linear / Ridge,0.7825,0.6321,0.8948,181,6,0.7170,0.8480
Robotics (Pepper),PCMCI_robotic,Polynomial degree 3,0.8053,0.6516,0.9233,181,6,0.7432,0.8674
Robotics (Pepper),PCMCI_robotic,RBF + Ridge,0.8752,0.7559,0.9587,181,6,0.8258,0.9246
