domain,family,fault,top_k,n_configs,mean_jaccard,chance_jaccard,lift,unanimous_vars
healthcare,causal,Attack_1,3,9,0.3111,0.1579,1.97,0
healthcare,neural,Attack_1,3,3,0.6667,0.1429,4.67,2
healthcare,causal,Attack_1,5,9,0.474,0.2941,1.61,0
healthcare,neural,Attack_1,5,3,0.619,0.2632,2.35,3
healthcare,causal,Attack_1,10,9,0.7502,0.8333,0.9,5
healthcare,neural,Attack_1,10,3,0.8788,0.7143,1.23,9
healthcare,causal,Attack_10,3,9,0.3722,0.1579,2.36,0
healthcare,neural,Attack_10,3,3,0.1667,0.1429,1.17,0
healthcare,causal,Attack_10,5,9,0.4363,0.2941,1.48,0
healthcare,neural,Attack_10,5,3,0.3095,0.2632,1.18,1
healthcare,causal,Attack_10,10,9,0.7479,0.8333,0.9,6
healthcare,neural,Attack_10,10,3,0.8788,0.7143,1.23,9
healthcare,causal,Attack_11,3,9,0.2111,0.1579,1.34,0
healthcare,neural,Attack_11,3,3,0.3,0.1429,2.1,1
healthcare,causal,Attack_11,5,9,0.3666,0.2941,1.25,0
healthcare,neural,Attack_11,5,3,0.4484,0.2632,1.7,2
healthcare,causal,Attack_11,10,9,0.7146,0.8333,0.86,4
healthcare,neural,Attack_11,10,3,0.8182,0.7143,1.15,8
healthcare,causal,Attack_12,3,9,0.425,0.1579,2.69,0
healthcare,neural,Attack_12,3,3,0.6667,0.1429,4.67,2
healthcare,causal,Attack_12,5,9,0.4444,0.2941,1.51,0
healthcare,neural,Attack_12,5,3,0.3889,0.2632,1.48,2
healthcare,causal,Attack_12,10,9,0.7226,0.8333,0.87,4
healthcare,neural,Attack_12,10,3,0.7172,0.7143,1.0,7
healthcare,causal,Attack_13,3,9,0.3472,0.1579,2.2,0
healthcare,neural,Attack_13,3,3,0.5,0.1429,3.5,2
healthcare,causal,Attack_13,5,9,0.5744,0.2941,1.95,1
healthcare,neural,Attack_13,5,3,0.619,0.2632,2.35,3
healthcare,causal,Attack_13,10,9,0.7638,0.8333,0.92,6
healthcare,neural,Attack_13,10,3,1.0,0.7143,1.4,10
healthcare,causal,Attack_14,3,9,0.2833,0.1579,1.79,0
healthcare,neural,Attack_14,3,3,0.3,0.1429,2.1,1
healthcare,causal,Attack_14,5,9,0.3768,0.2941,1.28,0
healthcare,neural,Attack_14,5,3,0.4286,0.2632,1.63,2
healthcare,causal,Attack_14,10,9,0.7826,0.8333,0.94,5
healthcare,neural,Attack_14,10,3,0.8788,0.7143,1.23,9
healthcare,causal,Attack_15,3,9,0.4056,0.1579,2.57,1
healthcare,neural,Attack_15,3,3,0.2333,0.1429,1.63,0
healthcare,causal,Attack_15,5,9,0.46,0.2941,1.56,1
healthcare,neural,Attack_15,5,3,0.4484,0.2632,1.7,2
healthcare,causal,Attack_15,10,9,0.7071,0.8333,0.85,4
healthcare,neural,Attack_15,10,3,0.8788,0.7143,1.23,9
healthcare,causal,Attack_16,3,9,0.3611,0.1579,2.29,1
healthcare,neural,Attack_16,3,3,0.2333,0.1429,1.63,0
healthcare,causal,Attack_16,5,9,0.3746,0.2941,1.27,1
healthcare,neural,Attack_16,5,3,0.4484,0.2632,1.7,2
healthcare,causal,Attack_16,10,9,0.7401,0.8333,0.89,5
healthcare,neural,Attack_16,10,3,0.8182,0.7143,1.15,8
healthcare,causal,Attack_17,3,9,0.2861,0.1579,1.81,0
healthcare,neural,Attack_17,3,3,0.6667,0.1429,4.67,2
healthcare,causal,Attack_17,5,9,0.5463,0.2941,1.86,0
healthcare,neural,Attack_17,5,3,0.6667,0.2632,2.53,3
healthcare,causal,Attack_17,10,9,0.7538,0.8333,0.9,4
healthcare,neural,Attack_17,10,3,0.8182,0.7143,1.15,8
healthcare,causal,Attack_18,3,9,0.4139,0.1579,2.62,0
healthcare,neural,Attack_18,3,3,0.1667,0.1429,1.17,0
healthcare,causal,Attack_18,5,9,0.4989,0.2941,1.7,1
healthcare,neural,Attack_18,5,3,0.2262,0.2632,0.86,0
healthcare,causal,Attack_18,10,9,0.7323,0.8333,0.88,5
healthcare,neural,Attack_18,10,3,0.8788,0.7143,1.23,9
healthcare,causal,Attack_19,3,9,0.3111,0.1579,1.97,0
healthcare,neural,Attack_19,3,3,0.1667,0.1429,1.17,0
