Dataset,Comparison,Reason
Healthcare (ECG),CAM_UV_healthcare Linear / Ridge  vs  PCMCI_healthcare Linear / Ridge,different sample sets (n=3115 vs n=4806; subsample 10 vs 7)
Healthcare (ECG),CAM_UV_healthcare Linear / Ridge  vs  PCMCI_healthcare Polynomial degree 3,different sample sets (n=3115 vs n=4806; subsample 10 vs 7)
Healthcare (ECG),CAM_UV_healthcare Linear / Ridge  vs  PCMCI_healthcare RBF + Ridge,different sample sets (n=3115 vs n=4806; subsample 10 vs 7)
Healthcare (ECG),CAM_UV_healthcare Polynomial degree 3  vs  PCMCI_healthcare Linear / Ridge,different sample sets (n=3115 vs n=4806; subsample 10 vs 7)
Healthcare (ECG),CAM_UV_healthcare Polynomial degree 3  vs  PCMCI_healthcare Polynomial degree 3,different sample sets (n=3115 vs n=4806; subsample 10 vs 7)
Healthcare (ECG),CAM_UV_healthcare Polynomial degree 3  vs  PCMCI_healthcare RBF + Ridge,different sample sets (n=3115 vs n=4806; subsample 10 vs 7)
Healthcare (ECG),CAM_UV_healthcare RBF + Ridge  vs  PCMCI_healthcare Linear / Ridge,different sample sets (n=3115 vs n=4806; subsample 10 vs 7)
Healthcare (ECG),CAM_UV_healthcare RBF + Ridge  vs  PCMCI_healthcare Polynomial degree 3,different sample sets (n=3115 vs n=4806; subsample 10 vs 7)
Healthcare (ECG),CAM_UV_healthcare RBF + Ridge  vs  PCMCI_healthcare RBF + Ridge,different sample sets (n=3115 vs n=4806; subsample 10 vs 7)
Industrial (TEP),CAM_UV_industrial Linear / Ridge  vs  PCMCI_industrial Linear / Ridge,different sample sets (n=1323 vs n=16716; subsample 10 vs 1)
Industrial (TEP),CAM_UV_industrial Linear / Ridge  vs  PCMCI_industrial Polynomial degree 3,different sample sets (n=1323 vs n=16716; subsample 10 vs 1)
Industrial (TEP),CAM_UV_industrial Linear / Ridge  vs  PCMCI_industrial RBF + Ridge,different sample sets (n=1323 vs n=16716; subsample 10 vs 1)
Industrial (TEP),CAM_UV_industrial Polynomial degree 3  vs  PCMCI_industrial Linear / Ridge,different sample sets (n=1323 vs n=16716; subsample 10 vs 1)
Industrial (TEP),CAM_UV_industrial Polynomial degree 3  vs  PCMCI_industrial Polynomial degree 3,different sample sets (n=1323 vs n=16716; subsample 10 vs 1)
Industrial (TEP),CAM_UV_industrial Polynomial degree 3  vs  PCMCI_industrial RBF + Ridge,different sample sets (n=1323 vs n=16716; subsample 10 vs 1)
Industrial (TEP),CAM_UV_industrial RBF + Ridge  vs  PCMCI_industrial Linear / Ridge,different sample sets (n=1323 vs n=16716; subsample 10 vs 1)
Industrial (TEP),CAM_UV_industrial RBF + Ridge  vs  PCMCI_industrial Polynomial degree 3,different sample sets (n=1323 vs n=16716; subsample 10 vs 1)
Industrial (TEP),CAM_UV_industrial RBF + Ridge  vs  PCMCI_industrial RBF + Ridge,different sample sets (n=1323 vs n=16716; subsample 10 vs 1)
Robotics (Pepper),CAM_UV_robotics Linear / Ridge  vs  PCMCI_robotic Linear / Ridge,different sample sets (n=1378 vs n=181; subsample 10 vs 74)
Robotics (Pepper),CAM_UV_robotics Linear / Ridge  vs  PCMCI_robotic Polynomial degree 3,different sample sets (n=1378 vs n=181; subsample 10 vs 74)
Robotics (Pepper),CAM_UV_robotics Linear / Ridge  vs  PCMCI_robotic RBF + Ridge,different sample sets (n=1378 vs n=181; subsample 10 vs 74)
Robotics (Pepper),CAM_UV_robotics Polynomial degree 3  vs  PCMCI_robotic Linear / Ridge,different sample sets (n=1378 vs n=181; subsample 10 vs 74)
Robotics (Pepper),CAM_UV_robotics Polynomial degree 3  vs  PCMCI_robotic Polynomial degree 3,different sample sets (n=1378 vs n=181; subsample 10 vs 74)
Robotics (Pepper),CAM_UV_robotics Polynomial degree 3  vs  PCMCI_robotic RBF + Ridge,different sample sets (n=1378 vs n=181; subsample 10 vs 74)
Robotics (Pepper),CAM_UV_robotics RBF + Ridge  vs  PCMCI_robotic Linear / Ridge,different sample sets (n=1378 vs n=181; subsample 10 vs 74)
Robotics (Pepper),CAM_UV_robotics RBF + Ridge  vs  PCMCI_robotic Polynomial degree 3,different sample sets (n=1378 vs n=181; subsample 10 vs 74)
Robotics (Pepper),CAM_UV_robotics RBF + Ridge  vs  PCMCI_robotic RBF + Ridge,different sample sets (n=1378 vs n=181; subsample 10 vs 74)
