domain,algorithm,variant,fault,group,rule,pool,n_selected,n_relevant,relevance_pct,chance_pct,lift
healthcare,CAM-UV,Linear / Ridge,Attack_1,MI,top3,12,3,1,33.33,25.0,1.33
healthcare,CAM-UV,Linear / Ridge,Attack_1,MI,top5,12,5,2,40.0,25.0,1.6
healthcare,CAM-UV,Linear / Ridge,Attack_1,MI,top10,12,10,3,30.0,25.0,1.2
healthcare,CAM-UV,Linear / Ridge,Attack_1,MI,std1,12,3,1,33.33,25.0,1.33
healthcare,CAM-UV,Linear / Ridge,Attack_10,CD,top3,12,3,0,0.0,25.0,0.0
healthcare,CAM-UV,Linear / Ridge,Attack_10,CD,top5,12,5,2,40.0,25.0,1.6
healthcare,CAM-UV,Linear / Ridge,Attack_10,CD,top10,12,10,3,30.0,25.0,1.2
healthcare,CAM-UV,Linear / Ridge,Attack_10,CD,std1,12,2,0,0.0,25.0,0.0
healthcare,CAM-UV,Linear / Ridge,Attack_11,RHYTHM,top3,12,3,0,0.0,33.33,0.0
healthcare,CAM-UV,Linear / Ridge,Attack_11,RHYTHM,top5,12,5,2,40.0,33.33,1.2
healthcare,CAM-UV,Linear / Ridge,Attack_11,RHYTHM,top10,12,10,3,30.0,33.33,0.9
healthcare,CAM-UV,Linear / Ridge,Attack_11,RHYTHM,std1,12,3,0,0.0,33.33,0.0
healthcare,CAM-UV,Linear / Ridge,Attack_12,MI,top3,12,3,0,0.0,25.0,0.0
healthcare,CAM-UV,Linear / Ridge,Attack_12,MI,top5,12,5,0,0.0,25.0,0.0
healthcare,CAM-UV,Linear / Ridge,Attack_12,MI,top10,12,10,1,10.0,25.0,0.4
healthcare,CAM-UV,Linear / Ridge,Attack_12,MI,std1,12,1,0,0.0,25.0,0.0
healthcare,CAM-UV,Linear / Ridge,Attack_13,CD,top3,12,3,1,33.33,16.67,2.0
healthcare,CAM-UV,Linear / Ridge,Attack_13,CD,top5,12,5,1,20.0,16.67,1.2
healthcare,CAM-UV,Linear / Ridge,Attack_13,CD,top10,12,10,2,20.0,16.67,1.2
healthcare,CAM-UV,Linear / Ridge,Attack_13,CD,std1,12,3,1,33.33,16.67,2.0
healthcare,CAM-UV,Linear / Ridge,Attack_14,CD,top3,12,3,1,33.33,25.0,1.33
healthcare,CAM-UV,Linear / Ridge,Attack_14,CD,top5,12,5,1,20.0,25.0,0.8
healthcare,CAM-UV,Linear / Ridge,Attack_14,CD,top10,12,10,2,20.0,25.0,0.8
healthcare,CAM-UV,Linear / Ridge,Attack_14,CD,std1,12,2,1,50.0,25.0,2.0
healthcare,CAM-UV,Linear / Ridge,Attack_17,MI,top3,12,3,3,100.0,33.33,3.0
healthcare,CAM-UV,Linear / Ridge,Attack_17,MI,top5,12,5,3,60.0,33.33,1.8
healthcare,CAM-UV,Linear / Ridge,Attack_17,MI,top10,12,10,4,40.0,33.33,1.2
healthcare,CAM-UV,Linear / Ridge,Attack_17,MI,std1,12,1,1,100.0,33.33,3.0
healthcare,CAM-UV,Linear / Ridge,Attack_18,CD,top3,12,3,0,0.0,16.67,0.0
healthcare,CAM-UV,Linear / Ridge,Attack_18,CD,top5,12,5,0,0.0,16.67,0.0
healthcare,CAM-UV,Linear / Ridge,Attack_18,CD,top10,12,10,0,0.0,16.67,0.0
healthcare,CAM-UV,Linear / Ridge,Attack_18,CD,std1,12,3,0,0.0,16.67,0.0
healthcare,CAM-UV,Linear / Ridge,Attack_2,RHYTHM,top3,12,3,0,0.0,33.33,0.0
