Algorithm,Domain,Variant,Detection seconds,Variables,Subsample,Exit
PCMCI,robotics,Linear / Ridge,44.0,244,74,0
PCMCI,robotics,Polynomial degree 3,46.4,244,74,0
PCMCI,robotics,RBF + Ridge,50.8,244,74,0
PCMCI,healthcare,Linear / Ridge,18.9,12,7,0
PCMCI,healthcare,Polynomial degree 3,19.5,12,7,0
PCMCI,healthcare,RBF + Ridge,22.5,12,7,0
PCMCI,industrial,Linear / Ridge,132.3,52,1,0
PCMCI,industrial,Polynomial degree 3,127.9,52,1,0
PCMCI,industrial,RBF + Ridge,151.5,52,1,0
GES,robotics,Linear / Ridge,20.7,35,10,0
GES,robotics,Polynomial degree 3,20.7,35,10,0
GES,robotics,RBF + Ridge,35.9,35,10,0
GES,healthcare,Linear / Ridge,18.2,12,10,0
GES,healthcare,Polynomial degree 3,18.4,12,10,0
GES,healthcare,RBF + Ridge,27.7,12,10,0
GES,industrial,Linear / Ridge,13.5,52,10,0
GES,industrial,Polynomial degree 3,13.7,52,10,0
GES,industrial,RBF + Ridge,15.1,52,10,0
TS-CAM-UV,robotics,Linear / Ridge,22.1,35,10,0
TS-CAM-UV,robotics,Polynomial degree 3,23.0,35,10,0
TS-CAM-UV,robotics,RBF + Ridge,38.6,35,10,0
TS-CAM-UV,healthcare,Linear / Ridge,21.4,12,10,0
TS-CAM-UV,healthcare,Polynomial degree 3,22.2,12,10,0
TS-CAM-UV,healthcare,RBF + Ridge,35.1,12,10,0
TS-CAM-UV,industrial,Linear / Ridge,16.2,52,10,0
TS-CAM-UV,industrial,Polynomial degree 3,16.0,52,10,0
TS-CAM-UV,industrial,RBF + Ridge,18.9,52,10,0
