domain,family,top_k,within_fault_jaccard,between_fault_jaccard,excess
healthcare,CAM-UV,3,0.4467,0.18,0.2667
healthcare,CAM-UV,5,0.5378,0.319,0.2188
healthcare,CAM-UV,10,0.8364,0.7424,0.0939
industrial,CAM-UV,3,0.3733,0.2044,0.1689
industrial,CAM-UV,5,0.3603,0.2514,0.1088
industrial,CAM-UV,10,0.4329,0.4246,0.0083
robotics,CAM-UV,3,0.4333,0.1778,0.2556
robotics,CAM-UV,5,0.455,0.3735,0.0816
robotics,CAM-UV,10,0.4384,0.4969,-0.0585
healthcare,GES,3,0.4417,0.2602,0.1815
healthcare,GES,5,0.6157,0.4517,0.164
healthcare,GES,10,1.0,1.0,0.0
industrial,GES,3,0.3583,0.2535,0.1048
industrial,GES,5,0.3511,0.3139,0.0372
industrial,GES,10,0.448,0.5107,-0.0627
robotics,GES,3,0.4333,0.0889,0.3444
robotics,GES,5,0.4347,0.2346,0.2002
robotics,GES,10,0.3216,0.3082,0.0134
healthcare,PCMCI,3,0.3517,0.226,0.1257
healthcare,PCMCI,5,0.4692,0.333,0.1361
healthcare,PCMCI,10,0.7995,0.7507,0.0488
industrial,PCMCI,3,0.3117,0.247,0.0646
industrial,PCMCI,5,0.3345,0.3104,0.0242
industrial,PCMCI,10,0.4158,0.4029,0.0129
robotics,PCMCI,3,0.4222,0.1667,0.2556
robotics,PCMCI,5,0.3205,0.2698,0.0507
robotics,PCMCI,10,0.4765,0.4371,0.0394
robotics,SHAP,3,0.5222,0.0,0.5222
robotics,SHAP,5,0.5904,0.0,0.5904
robotics,SHAP,10,0.4398,0.0364,0.4034
healthcare,SHAP,3,0.36,0.3128,0.0472
healthcare,SHAP,5,0.4563,0.5088,-0.0525
healthcare,SHAP,10,0.8101,0.7982,0.0119
industrial,SHAP,3,0.6967,0.1556,0.5411
industrial,SHAP,5,0.6733,0.2382,0.4352
industrial,SHAP,10,0.6526,0.3557,0.297
